SEZ2011,A47
480170060564,60
480170060565,1320
480170060566,270
480170060568,118
480170060570,96
480170060571,570
480170060573,468
480170060574,901
480170060576,693
480170060577,1462
480170060578,386
480170060580,330
480170060581,850
480170060582,192
480170060583,243
480170060584,589
480170060585,52
480170060586,84
480170060588,1197
480170060589,1632
480170060590,754
480170060591,0
480170060592,384
480170060593,2184
480170060594,340
480170060595,220
480170060597,0
480170060598,85
480170060599,897
480170060600,40
480170060601,30
480170060602,106
480170060603,660
480170060604,0
480170060605,460
480170060606,5600
480170060607,0
480170060608,208
480170060609,26
480170060612,115
480170060613,56
480170060614,1230
480170060615,282
480170060616,516
480170060617,294
480170060619,0
480170060620,234
480170060621,48
480170060622,1242
480170060623,182
480170060624,198
480170060625,99
480170060626,2275
480170060628,260
480170060629,300
480170060630,108
480170060631,390
480170060632,960
480170060633,22
480170060634,324
480170060635,106
480170060636,20
480170060639,0
480170060640,55
480170060641,84
480170060642,589
480170060643,198
480170060644,78
480170060645,80
480170060646,795
480170060647,30
480170060648,351
480170060649,560
480170060650,1188
480170060652,1479
480170060653,627
480170060654,1190
480170060655,507
480170060656,71
480170060659,1683
480170060660,132
480170060661,50
480170060662,22
480170060663,0
480170060664,55
480170060665,42
480170060666,30
480170060667,432
480170060668,308
480170060669,72
480170060671,1680
480170060673,1605
480170060674,930
480170060675,0
480170060676,3
480170060677,0
480170060678,198
480170060681,0
480170060682,435
480170060683,374
480170060684,74
480170060685,1770
480170060686,0
480170060687,426
480170060689,0
480170060690,0
480170060691,0
480170060692,72
480170060693,272
480170060694,1404
480170060695,4
480170060699,105
480170060700,18
480170060701,66
480170060702,128
480170060703,12
480170060704,69
480170060705,0
480170060706,209
480170060707,154
480170060709,70
480170060710,728
480170060711,40
480170060712,4
480170060713,36
480170060714,24
480170060715,546
480170060717,498
480170060718,0
480170060719,390
480170060720,0
480170060721,0
480170060722,37
480170060724,0
480170060725,20
480170060726,50
480170060727,7
480170060728,0
480170060730,216
480170060731,1212
480170060732,244
480170060733,2
480170060734,728
480170060735,168
480170060738,5
480170060740,117
480170060741,207
480170060743,40
480170060746,240
480170060747,1012
480170060748,80
480170060750,90
480170060751,0
480170060752,35
480170060753,66
480170060754,682
480170060755,880
480170060756,600
480170060757,150
480170060758,0
480170060759,2
480170060760,637
480170060761,0
480170060762,30
480170060763,6480
480170060764,75
480170060765,3
480170060766,200
480170060767,114
480170060768,4032
480170060771,297
480170060772,1312
480170060774,70
480170060775,26
480170060777,45
480170060779,679
480170060781,2014
480170060782,360
480170060783,426
480170060784,121
480170060785,203
480170060787,690
480170060789,256
480170060790,4
480170060791,0
480170060793,0
480170060795,30
480170060796,77
480170060798,576
480170060799,187
480170060800,156
480170060801,127
480170060802,108
480170060803,224
480170060804,2668
480170060807,42
480170060809,16
480170060810,264
480170060812,420
480170060815,1189
480170060816,4
480170060817,924
480170060818,6557
480170060819,832
480170060820,83
480170060821,5
480170060822,24
480170060823,0
480170060824,0
480170060825,645
480170060826,150
480170060827,0
480170060828,384
480170060829,0
480170060830,316
480170060831,39
480170060833,0
480170060835,720
480170060836,255
480170060837,6
480170060838,399
480170060839,54
480170060840,28
480170060841,342
480170060842,1386
480170060843,636
480170060844,120
480170060845,45
480170060846,703
480170060847,5952
480170060848,1
480170060850,118
480170060851,259
480170060852,22
480170060855,216
480170060858,0
480170060859,100
480170060861,1104
480170060862,19
480170060863,31
480170060864,1035
480170060865,4554
480170060866,790
480170060867,648
480170060870,114
480170060873,608
480170060874,3950
480170060877,42
480170060878,80
480170060879,154
480170060881,0
480170060883,132
480170060884,25
480170060886,45
480170060887,80
480170060888,1080
480170060890,23
480170060891,120
480170060892,6
480170060895,154
480170060896,50
480170060897,4128
480170060899,95
480170060902,288
480170060906,12
480170060907,1065
480170060908,255
480170060910,144
480170060911,81
480170060912,0
480170060915,158
480170060916,7296
480170060917,0
480170060918,500
480170060919,2146
480170060920,86
480170060921,40
480170060922,7
480170060924,780
480170060927,14
480170060928,425
480170060930,920
480170060931,714
480170060932,128
480170060933,26
480170060934,864
480170060935,534
480170060936,21
480170060937,936
480170060938,32
480170060940,70
480170060943,432
480170060944,46
480170060945,153
480170060947,4932
480170060948,168
480170060949,176
480170060950,0
480170060952,90
480170060953,42
480170060954,25
480170060955,24
480170060957,256
480170060958,495
480170060960,36
480170060961,2117
480170060963,202
480170060964,69
480170060966,1560
480170060967,660
480170060969,1044
480170060971,1192
480170060973,1177
480170060974,276
480170060975,17
480170060976,0
480170060977,58
480170060979,306
480170060983,314
480170060984,507
480170060985,135
480170060986,56
480170060988,404
480170060990,98
480170060991,40
480170060992,690
480170060994,178
480170060995,2880
480170060996,108
480170060998,19
480170060999,248
480170061000,96
480170061001,630
480170061002,3332
480170061003,82
480170061004,720
480170061005,295
480170061006,112
480170061007,13
480170061009,52
480170061010,2208
480170061011,8600
480170061013,57
480170061014,316
480170061017,3402
480170061018,146
480170061019,192
480170061021,63
480170061023,185
480170061025,1160
480170061026,57
480170061035,416
480170061036,48
480170061037,470
480170061039,170
480170061040,113
480170061043,174
480170061044,741
480170061045,7138
480170061049,86
480170061050,650
480170061051,218
480170061053,352
480170061055,396
480170061057,72
480170061058,220
480170061061,11
480170061064,1161
480170061065,98
480170061066,1176
480170061068,568
480170061069,1914
480170061070,366
480170061071,2242
480170061072,141
480170061073,3150
480170061075,149
480170061076,620
480170061077,0
480170061078,144
480170061079,48
480170061081,11
480170061082,78
480170061086,0
480170061087,85
480170061089,35
480170061090,68
480170061091,620
480170061092,0
480170061094,3740
480170061095,124
480170061099,8
480170061100,752
480170061104,159
480170061106,66
480170061109,31
480170061110,1372
480170061111,50
480170061112,1540
480170061114,158
480170061115,675
480170061118,0
480170061119,140
480170061120,66
480170061121,630
480170061123,132
480170061124,141
480170061125,42
480170061127,279
480170061132,700
480170061133,174
480170061134,133
480170061135,588
480170061137,512
480170061141,273
480170061145,204
480170061149,7348
480170061150,139
480170061153,483
480170061157,990
480170061160,528
480170061161,122
480170061165,350
480170061169,96
480170061170,774
480170061173,58
480170061174,430
480170061176,135
480170061177,3975
480170061179,428
480170061180,285
480170061183,26
480170061186,528
480170061191,10
480170061194,320
480170061196,5
480170061201,640
480170061203,44
480170061206,198
480170061208,775
480170061210,125
480170061213,72
480170061214,0
480170061217,412
480170061221,4788
480170061222,230
480170061223,162
480170061224,114
480170061226,6225
480170061232,567
480170061235,0
480170061237,57
480170061238,202
480170061239,117
480170061243,130
480170061244,1978
480170061245,196
480170061247,96
480170061249,15
480170061251,468
480170061252,611
480170061257,0
480170061258,152
480170061259,304
480170061261,0
480170061262,252
480170061263,2106
480170061266,259
480170061268,156
480170061270,10
480170061271,21
480170061273,214
480170061275,0
480170061276,1770
480170061277,66
480170061278,40
480170061279,42
480170061280,195
480170061283,133
480170061285,0
480170061286,1449
480170061288,968
480170061290,982
480170061292,74
480170061294,2
480170061295,149
480170061296,189
480170061297,424
480170061299,72
480170061300,279
480170061301,4494
480170061303,192
480170061305,99
480170061309,24
480170061312,205
480170061314,35
480170061315,2016
480170061317,4185
480170061318,232
480170061321,1241
480170061325,169
480170061326,1456
480170061328,69
480170061329,2
480170061331,158
480170061333,1800
480170061335,416
480170061336,2672
480170061338,459
480170061339,126
480170061340,956
480170061341,286
480170061343,592
480170061344,2
480170061345,585
480170061346,52
480170061347,324
480170061348,620
480170061349,594
480170061350,1788
480170061352,230
480170061353,250
480170061354,273
480170061355,0
480170061358,148
480170061359,132
480170061360,127
480170061361,0
480170061362,22
480170061363,17
480170061365,0
480170061366,817
480170061368,53
480170061369,135
480170061370,1280
480170061371,27
480170061375,152
480170061377,3864
480170061378,261
480170061379,246
480170061380,126
480170061381,84
480170061383,660
480170061384,476
480170061386,45
480170061388,70
480170061390,854
480170061391,19
480170061393,253
480170061394,39
480170061395,0
480170061396,0
480170061397,0
480170061399,44
480170061400,2788
480170061401,393
480170061402,182
480170061403,112
480170061404,371
480170061406,38
480170061408,360
480170061410,0
480170061411,628
480170061412,338
480170061414,429
480170061415,190
480170061416,58
480170061418,336
480170061419,273
480170061420,107
480170061422,564
480170061423,675
480170061424,2400
480170061425,130
480170061426,66
480170061427,252
480170061429,380
480170061431,12
480170061432,92
480170061433,6
480170061434,219
480170061435,752
480170061436,425
480170061437,68
480170061439,282
480170061440,385
480170061442,248
480170061443,64
480170061444,116
480170061445,1008
480170061446,110
480170061448,34
480170061449,116
480170061450,273
480170061451,276
480170061452,175
480170061453,132
480170061454,48
480170061457,41
480170061458,7
480170061459,0
480170061460,30
480170061461,48
480170061463,320
480170061464,6
480170061465,25
480170061466,72
480170061467,46
480170061469,676
480170061470,48
480170061473,231
480170061474,36
480170061476,1014
480170061477,154
480170061478,404
480170061479,588
480170061480,508
480170061481,424
480170061482,80
480170061483,45
480170061485,168
480170061487,188
480170061488,276
480170061489,0
480170061490,66
480170061491,432
480170061492,63
480170061493,189
480170061496,232
480170061497,234
480170061498,408
480170061499,41
480170061500,26
480170061501,309
480170061502,144
480170061503,144
480170061506,87
480170061507,252
480170061508,1224
480170061510,635
480170061511,100
480170061512,39
480170061514,340
480170061516,95
480170061517,125
480170061519,67
480170061520,174
480170061521,1520
480170061522,390
480170061523,304
480170061524,145
480170061525,270
480170061528,48
480170061529,548
480170061531,594
480170061535,477
480170061536,756
480170061537,352
480170061539,56
480170061540,38
480170061541,585
480170061542,23
480170061544,840
480170061545,10
480170061546,196
480170061547,185
480170061548,8
480170061549,100
480170061551,460
480170061552,490
480170061553,23
480170061554,144
480170061556,380
480170061557,642
480170061559,0
480170061560,210
480170061561,58
480170061562,36
480170061563,0
480170061564,82
480170061565,255
480170061567,51
480170061568,570
480170061569,107
480170061570,132
480170061571,71
480170061572,195
480170061573,204
480170061574,136
480170061575,246
480170061576,30
480170061578,54
480170061579,68
480170061580,260
480170061581,426
480170061582,371
480170061583,54
480170061585,946
480170061587,162
480170061589,234
480170061590,33
480170061593,595
480170061594,284
480170061596,984
480170061597,42
480170061598,504
480170061599,72
480170061600,255
480170061601,520
480170061602,23
480170061604,140
480170061605,16
480170061606,2628
480170061607,2
480170061608,220
480170061609,132
480170061612,212
480170061613,176
480170061616,3094
480170061619,154
480170061620,579
480170061622,27
480170061623,688
480170061624,65
480170061626,42
480170061629,3480
480170061630,50
480170061632,1808
480170061634,985
480170061637,18
480170061638,56
480170061639,74
480170061640,174
480170061641,1290
480170061643,24
480170061645,2955
480170061646,1218
480170061647,675
480170061649,762
480170061650,64
480170061652,58
480170061653,61
480170061654,3
480170061655,190
480170061656,46
480170061659,848
480170061660,0
480170061661,1925
480170061663,880
480170061664,288
480170061665,78
480170061667,1098
480170061668,345
480170061669,3689
480170061670,440
480170061672,2664
480170061673,164
480170061674,159
480170061675,87
480170061677,204
480170061681,177
480170061683,179
480170061684,1116
480170061685,0
480170061686,36
480170061688,636
480170061689,80
480170061691,748
480170061692,498
480170061693,2772
480170061694,102
480170061695,150
480170061696,84
480170061697,15
480170061698,101
480170061699,576
480170061700,256
480170061701,297
480170061704,124
480170061710,154
480170061712,136
480170061713,100
480170061714,910
480170061715,40
480170061716,0
480170061721,33
480170061722,852
480170061724,12
480170061732,380
480170061734,53
480170061736,708
480170061737,356
480170061738,994
480170061739,580
480170061742,1424
480170061744,75
480170061745,29
480170061747,29
480170061750,810
480170061752,9
480170061754,8
480170061755,925
480170061759,67
480170061760,10
480170061764,72
480170061768,72
480170061769,0
480170061770,47
480170061771,290
480170061772,31
480170061779,127
480170061781,148
480170061782,92
480170061783,0
480170061786,120
480170061787,55
480170061792,1295
480170061793,104
480170061794,472
480170061796,0
480170061798,188
480170061799,23
480170061804,276
480170061805,549
480170061808,700
480170061813,143
480170061814,152
480170061816,45
480170061817,1698
480170061819,13
480170061820,378
480170061822,98
480170061824,54
480170061826,228
480170061827,276
480170061831,82
480170061832,156
480170061834,3728
480170061838,55
480170061840,332
480170061844,327
480170061848,21
480170061850,712
480170061853,131
480170061856,168
480170061858,268
480170061862,310
480170061863,28
480170061866,55
480170061867,110
480170061869,6
480170061870,222
480170061873,342
480170061877,117
480170061878,332
480170061879,38
480170061880,6973
480170061881,80
480170061884,568
480170061885,156
480170061886,2808
480170061888,0
480170061890,146
480170061894,477
480170061895,88
480170061896,48
480170061897,177
480170061898,34
480170061900,2502
480170061901,352
480170061902,104
480170061904,31
480170061905,81
480170061906,1432
480170061910,56
480170061911,735
480170061912,385
480170061914,1725
480170061915,264
480170061921,122
480170061922,785
480170061924,1092
480170061925,48
480170061928,213
480170061931,927
480170061932,616
480170061933,579
480170061936,280
480170061937,4500
480170061938,196
480170061944,42
480170061945,363
480170061950,30
480170061952,50
480170061954,122
480170061955,170
480170061956,220
480170061957,40
480170061958,2145
480170061959,180
480170061961,130
480170061963,364
480170061965,462
480170061966,30
480170061967,135
480170061968,128
480170061969,45
480170061974,7
480170061978,0
480170061979,1100
480170061983,101
480170061984,48
480170061985,48
480170061986,428
480170061987,316
480170061988,230
480170061989,16
480170061990,71
480170061991,510
480170061992,62
480170061994,1712
480170061996,484
480170062004,256
480170062006,180
480170062007,49
480170062008,360
480170062012,6
480170062014,57
480170062016,121
480170062017,1
480170062018,1
480170062019,28
480170062020,1500
480170062021,16
480170062024,18
480170062025,249
480170062026,352
480170062027,50
480170062032,1020
480170062035,6828
480170062036,102
480170062040,608
480170062041,507
480170062048,143
480170062049,530
480170062050,642
480170062052,26
480170062054,104
480170062055,276
480170062057,210
480170062058,53
480170062059,14
480170062062,54
480170062066,196
480170062069,11
480170062072,20
480170062079,459
480170062081,94
480170062085,53
480170062087,15
480170062089,53
480170062090,148
480170062091,55
480170062093,6
480170062094,180
480170062096,11
480170062097,3530
480170062098,68
480170062099,81
480170062103,73
480170062105,20
480170062106,158
480170062108,15
480170062109,2
480170062110,29
480170062111,9
480170062119,15
480170062120,12
480170062121,118
480170062122,26
480170062124,25
480170062125,214
480170062126,415
480170062127,5076
480170062131,45
480170062133,11
480170062135,96
480170062137,0
480170062140,108
480170062142,1
480170062143,1
480170062147,2
480170062149,4
480170062150,90
480170062154,240
480170062155,666
480170062157,82
480170062158,23
480170062159,36
480170062160,28
480170062161,8
480170062162,10
480170062163,8
480170062164,102
480170062167,342
480170062169,22
480170062177,3150
480170062181,25
480170062186,0
