SEZ2011,PF1
480170061268,276
480170061270,13
480170061271,63
480170061273,268
480170061275,0
480170061276,3720
480170061277,73
480170061278,49
480170061279,56
480170061280,403
480170061283,196
480170061285,12
480170061286,2438
480170061288,1276
480170061290,1154
480170061292,82
480170061294,10
480170061295,173
480170061296,279
480170061297,480
480170061299,96
480170061300,345
480170061301,6174
480170061303,360
480170061305,216
480170061309,66
480170061312,272
480170061314,50
480170061315,2856
480170061317,7688
480170061318,392
480170061321,1955
480170061325,286
480170061326,2324
480170061328,120
480170061329,4
480170061331,208
480170061333,2232
480170061335,640
480170061336,4320
480170061338,714
480170061339,135
480170061340,1272
480170061341,330
480170061343,856
480170061344,3
480170061345,882
480170061346,66
480170061347,462
480170061348,880
480170061349,1045
480170061350,2412
480170061352,285
480170061353,340
480170061354,386
480170061355,0
480170061358,264
480170061359,184
480170061360,142
480170061361,6
480170061362,35
480170061363,20
480170061365,0
480170061366,1121
480170061368,80
480170061369,190
480170061370,1720
480170061371,60
480170061375,190
480170061377,5474
480170061378,375
480170061379,372
480170061380,210
480170061381,96
480170061383,996
480170061384,688
480170061386,60
480170061388,85
480170061390,1204
480170061391,30
480170061393,473
480170061394,47
480170061395,0
480170061396,8
480170061397,0
480170061399,68
480170061400,3706
480170061401,543
480170061402,226
480170061403,176
480170061404,805
480170061406,56
480170061408,504
480170061410,0
480170061411,850
480170061412,462
480170061414,572
480170061415,430
480170061416,64
480170061418,456
480170061419,411
480170061420,130
480170061422,822
480170061423,1305
480170061424,4288
480170061425,235
480170061426,92
480170061427,350
480170061429,465
480170061431,18
480170061432,124
480170061433,7
480170061434,303
480170061435,952
480170061436,918
480170061437,79
480170061439,462
480170061440,616
480170061442,344
480170061443,80
480170061444,146
480170061445,1422
480170061446,138
480170061448,48
480170061449,158
480170061450,351
480170061451,372
480170061452,225
480170061453,162
480170061454,68
480170061457,50
480170061458,7
480170061459,36
480170061460,44
480170061461,70
480170061463,470
480170061464,21
480170061465,37
480170061466,90
480170061467,64
480170061469,1105
480170061470,60
480170061473,297
480170061474,48
480170061476,1300
480170061477,230
480170061478,568
480170061479,828
480170061480,652
480170061481,588
480170061482,110
480170061483,55
480170061485,232
480170061487,288
480170061488,364
480170061489,0
480170061490,102
480170061491,558
480170061492,126
480170061493,312
480170061496,316
480170061497,324
480170061498,588
480170061499,53
480170061500,37
480170061501,393
480170061502,184
480170061503,255
480170061506,101
480170061507,384
480170061508,1864
480170061510,785
480170061511,140
480170061512,66
480170061514,475
480170061516,136
480170061517,172
480170061519,98
480170061520,210
480170061521,1800
480170061522,495
480170061523,420
480170061524,199
480170061525,357
480170061528,60
480170061529,720
480170061531,954
480170061535,762
480170061536,1078
480170061537,444
480170061539,88
480170061540,62
480170061541,760
480170061542,34
480170061544,1141
480170061545,14
480170061546,304
480170061547,310
480170061548,20
480170061549,172
