SEZ2011,AGG_COUNT,commercial,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,A46,A47,PF1,bedrooms,accommodates,E27
"480170060341","4","3","4","1","3","0","24","36","7","14","36"
"480170060342","2","1","2","2","1","24","126","170","3","9","186"
"480170060343","9","6","9","5","4","297","1611","2025","10","28","2304"
"480170060348","1","0","1","0","0","88","402","532","1","2","538"
"480170060349","2","1","2","1","0","74","466","590","2","5","600"
"480170060350","1","0","1","1","0","0","16","18","1","4","19"
"480170060353","4","1","4","3","0","8","0","8","5","14","8"
"480170060357","9","2","9","8","2","261","414","756","9","21","1071"
"480170060358","2","1","2","1","0","30","88","124","3","7","168"
"480170060360","12","7","12","11","5","228","324","624","17","37","612"
"480170060361","17","11","15","17","6","850","1649","2618","29","73","2686"
"480170060362","36","20","34","29","10","468","2016","2844","49","122","3564"
"480170060364","2","0","2","1","0","106","132","238","2","6","250"
"480170060366","7","5","7","7","5","119","182","315","11","31","364"
"480170060367","13","12","11","10","10","208","728","1066","18","46","1144"
"480170060368","8","4","7","8","4","232","384","712","12","28","624"
"480170060369","13","9","11","11","5","520","1027","1664","18","57","1781"
"480170060370","2","2","2","1","0","14","48","66","3","6","62"
"480170060371","11","9","10","9","7","33","154","198","18","43","264"
"480170060372","2","0","1","1","0","60","144","226","3","6","236"
"480170060374","15","10","14","14","9","165","360","675","19","55","1170"
"480170060376","1","1","1","1","1","6","7","17","2","4","19"
"480170060379","2","2","1","1","2","58","166","250","2","6","264"
"480170060381","52","40","46","49","30","2392","5200","9048","71","191","8840"
"480170060382","12","8","10","9","7","180","276","504","17","46","936"
"480170060383","9","5","8","7","3","54","198","324","14","32","486"
"480170060384","17","16","16","6","6","289","1037","1496","35","83","2023"
"480170060385","1","0","1","1","0","0","6","7","1","3","11"
"480170060388","1","1","1","1","0","7","44","57","0","1","60"
"480170060389","1","0","1","1","0","4","52","67","2","6","68"
"480170060390","6","2","5","3","0","78","504","618","5","15","594"
"480170060391","2","1","2","1","0","40","358","426","2","5","438"
"480170060392","2","1","2","1","0","90","136","228","2","5","220"
"480170060393","24","16","21","20","12","1200","2784","4368","35","79","5784"
"480170060394","7","6","6","7","4","42","266","343","9","25","371"
"480170060395","1","1","1","0","0","21","9","32","1","2","31"
"480170060397","2","0","2","0","0","10","90","106","2","4","108"
"480170060402","7","4","7","5","2","133","140","322","12","31","329"
"480170060403","25","18","24","25","14","1100","900","2250","56","132","2050"
"480170060406","5","2","5","3","0","180","1075","1355","5","16","1395"
"480170060407","4","3","4","3","1","28","128","160","6","12","204"
"480170060408","16","10","15","13","5","688","1392","2304","20","53","2288"
"480170060409","45","29","45","31","21","2430","2790","6030","63","159","6435"
"480170060410","11","8","10","7","5","319","187","506","12","35","737"
"480170060412","19","14","17","17","11","798","703","1615","29","90","1881"
"480170060415","2","2","2","2","0","28","168","232","2","6","254"
"480170060416","7","5","7","7","4","56","91","154","12","28","168"
"480170060418","5","4","4","3","2","80","250","370","8","19","375"
"480170060419","5","4","5","1","4","0","25","35","11","42","35"
"480170060420","3","2","2","2","0","39","177","228","3","9","231"
"480170060421","25","19","24","25","17","500","425","1100","33","107","875"
"480170060422","2","1","2","2","0","4","0","4","4","9","12"
"480170060425","36","31","34","35","25","1800","2664","5148","42","120","6012"
"480170060428","4","4","4","1","4","8","12","28","14","36","56"
"480170060430","1","0","1","1","0","6","13","25","3","4","31"
"480170060431","14","11","14","14","10","182","546","812","23","53","1848"
"480170060432","6","4","5","6","3","42","186","264","11","30","276"
"480170060433","21","17","21","19","14","840","861","2037","45","112","2625"
"480170060434","9","9","9","2","9","63","45","108","42","121","117"
"480170060435","29","19","26","28","16","1479","5249","7540","40","105","6322"
"480170060436","227","161","215","212","121","36320","74456","132795","335","857","152090"
"480170060437","9","7","8","7","4","18","234","297","15","38","288"
"480170060440","4","1","4","2","0","64","312","412","5","13","504"
"480170060443","1","1","1","1","0","2","50","62","3","5","81"
"480170060444","19","15","18","18","12","437","551","1121","32","94","1064"
"480170060446","3","1","3","3","0","87","438","558","5","12","561"
"480170060448","34","24","29","33","19","1700","1938","4080","46","114","3638"
"480170060449","3","2","3","3","0","48","381","462","6","21","582"
"480170060450","15","11","12","14","10","345","360","735","22","57","945"
"480170060452","4","4","3","4","3","4","20","24","7","16","28"
"480170060453","1","0","1","1","0","18","110","141","1","4","149"
"480170060455","7","5","5","2","5","434","1470","2114","10","26","2338"
"480170060456","14","13","14","13","9","70","56","266","31","71","476"
"480170060458","1","1","1","1","0","2","7","9","1","2","11"
"480170060459","1","0","1","1","0","52","105","177","1","4","171"
"480170060460","64","40","59","58","32","3904","9600","17024","88","239","15296"
"480170060461","1","0","1","0","0","39","81","125","1","2","132"
"480170060464","2","0","2","2","0","122","180","314","1","5","338"
"480170060465","1","0","1","0","0","3","4","7","1","2","6"
"480170060466","9","5","7","7","2","126","621","882","14","34","990"
