SEZ2011,E3
480170061121,108
480170061123,9
480170061124,10
480170061125,18
480170061127,60
480170061132,125
480170061133,38
480170061134,23
480170061135,294
480170061137,28
480170061141,147
480170061145,24
480170061149,2376
480170061150,16
480170061153,140
480170061157,540
480170061160,336
480170061161,6
480170061165,266
480170061169,39
480170061170,144
480170061173,38
480170061174,16
480170061176,39
480170061177,1696
480170061179,80
480170061180,69
480170061183,6
480170061186,374
480170061191,2
480170061194,240
480170061196,7
480170061201,304
480170061203,2
480170061206,36
480170061208,120
480170061210,23
480170061213,36
480170061214,12
480170061217,76
480170061221,1596
480170061222,180
480170061223,48
480170061224,20
480170061226,3403
480170061232,294
480170061235,14
480170061237,7
480170061238,68
480170061239,18
480170061243,39
480170061244,598
480170061245,38
480170061247,78
480170061249,18
480170061251,66
480170061252,377
480170061257,64
480170061258,7
480170061259,272
480170061261,48
480170061262,76
480170061263,567
480170061266,32
480170061268,0
480170061270,15
480170061271,14
480170061273,78
480170061275,0
480170061276,870
480170061277,6
480170061278,13
480170061279,28
480170061280,78
480170061283,56
480170061285,8
480170061286,529
480170061288,286
480170061290,26
480170061292,1
480170061294,2
480170061295,5
480170061296,90
480170061297,22
480170061299,24
480170061300,36
480170061301,966
480170061303,112
480170061305,42
480170061309,18
480170061312,11
480170061314,5
480170061315,651
480170061317,1240
480170061318,64
480170061321,357
480170061325,91
480170061326,504
480170061328,30
480170061329,2
480170061331,12
480170061333,72
480170061335,152
480170061336,688
480170061338,136
480170061339,18
480170061340,188
480170061341,77
480170061343,16
480170061344,4
480170061345,108
480170061346,12
480170061347,138
480170061348,220
480170061349,143
480170061350,348
480170061352,20
480170061353,80
480170061354,12
480170061355,0
480170061358,44
480170061359,20
480170061360,15
480170061361,6
480170061362,8
480170061363,9
480170061365,10
480170061366,209
480170061368,13
480170061369,55
480170061370,270
480170061371,9
480170061375,32
480170061377,1058
480170061378,72
480170061379,174
480170061380,18
480170061381,13
480170061383,105
480170061384,124
480170061386,14
480170061388,10
480170061390,154
480170061391,15
480170061393,77
480170061394,14
480170061395,0
480170061396,4
480170061397,0
480170061399,32
480170061400,1088
480170061401,90
480170061402,64
480170061403,28
480170061404,210
480170061406,14
480170061408,80
480170061410,0
480170061411,31
480170061412,40
480170061414,91
480170061415,90
480170061416,66
480170061418,78
480170061419,69
480170061420,18
480170061422,228
480170061423,225
480170061424,768
480170061425,65
480170061426,18
480170061427,34
480170061429,200
480170061431,18
480170061432,36
480170061433,1
480170061434,45
480170061435,144
480170061436,272
480170061437,17
480170061439,84
480170061440,126
480170061442,52
480170061443,20
480170061444,40
480170061445,162
480170061446,30
480170061448,31
480170061449,32
480170061450,143
480170061451,28
480170061452,50
480170061453,116
480170061454,20
480170061457,18
480170061458,0
480170061459,27
480170061460,12
480170061461,16
480170061463,200
480170061464,9
480170061465,11
480170061466,26
480170061467,20
480170061469,247
480170061470,16
480170061473,57
480170061474,38
480170061476,208
480170061477,78
480170061478,8
480170061479,156
480170061480,88
480170061481,40
480170061482,28
480170061483,26
480170061485,48
480170061487,28
480170061488,112
480170061489,0
480170061490,56
480170061491,240
480170061492,35
480170061493,33
480170061496,32
480170061497,60
480170061498,36
480170061499,11
480170061500,6
480170061501,63
480170061502,40
480170061503,30
480170061506,7
480170061507,75
480170061508,208
480170061510,85
480170061511,26
480170061512,19
480170061514,70
480170061516,5
480170061517,21
480170061519,6
480170061520,42
480170061521,250
480170061522,6
480170061523,88
480170061524,15
480170061525,45
480170061528,7
480170061529,124
480170061531,234
480170061535,36
480170061536,91
480170061537,64
480170061539,16
480170061540,21
480170061541,155
480170061542,5
480170061544,196
480170061545,7
480170061546,56
480170061547,75
480170061548,0
480170061549,56
480170061551,135
480170061552,84
480170061553,0
480170061554,24
480170061556,145
480170061557,39
480170061559,9
480170061560,45
480170061561,14
480170061562,15
480170061563,7
480170061564,22
480170061565,96
480170061567,24
480170061568,216
480170061569,11
480170061570,24
480170061571,22
480170061572,48
480170061573,64
480170061574,40
480170061575,90
480170061576,8
480170061578,34
480170061579,44
480170061580,18
480170061581,36
480170061582,182
480170061583,15
480170061585,253
480170061587,46
480170061589,51
480170061590,10
480170061593,35
480170061594,64
480170061596,120
480170061597,2
480170061598,312
480170061599,19
480170061600,72
480170061601,65
480170061602,14
480170061604,34
480170061605,2
480170061606,876
480170061607,4
480170061608,30
480170061609,40
480170061612,8
480170061613,66
480170061616,546
480170061619,48
480170061620,57
480170061622,12
480170061623,40
480170061624,20
480170061626,33
480170061629,320
480170061630,16
480170061632,248
480170061634,50
480170061637,7
480170061638,8
480170061639,18
480170061640,46
480170061641,180
480170061643,3
480170061645,205
480170061646,294
480170061647,72
480170061649,66
480170061650,23
480170061652,1
480170061653,39
480170061654,0
480170061655,38
480170061656,8
480170061659,128
480170061660,1
480170061661,594
480170061663,25
480170061664,144
480170061665,22
480170061667,132
480170061668,87
480170061669,1275
480170061670,80
480170061672,376
480170061673,36
480170061674,45
480170061675,24
480170061677,44
480170061681,42
480170061683,14
480170061684,261
480170061685,4
480170061686,39
480170061688,60
480170061689,18
480170061691,264
480170061692,27
480170061693,90
480170061694,72
480170061695,51
480170061696,20
480170061697,4
480170061698,26
480170061699,180
480170061700,124
480170061701,57
480170061704,18
480170061710,52
480170061712,43
480170061713,18
480170061714,85
480170061715,2
480170061716,0
480170061721,8
480170061722,150
480170061724,1
480170061732,75
480170061734,3
480170061736,84
480170061737,68
480170061738,224
480170061739,65
480170061742,336
480170061744,38
480170061745,26
480170061747,1
480170061750,90
480170061752,6
480170061754,1
480170061755,150
480170061759,18
480170061760,7
480170061764,52
480170061768,88
480170061769,2
480170061770,26
480170061771,34
480170061772,2
480170061779,10
480170061781,23
480170061782,9
480170061783,3
480170061786,12
480170061787,15
480170061792,85
480170061793,40
480170061794,64
480170061796,1
480170061798,14
480170061799,2
480170061804,30
480170061805,33
480170061808,80
480170061813,35
480170061814,22
480170061816,2
480170061817,174
480170061819,2
480170061820,33
480170061822,54
480170061824,2
480170061826,231
480170061827,48
480170061831,46
480170061832,96
480170061834,408
480170061838,32
480170061840,136
480170061844,87
480170061848,21
480170061850,80
480170061853,14
480170061856,33
480170061858,140
480170061862,22
480170061863,3
480170061866,17
480170061867,100
480170061869,4
480170061870,30
480170061873,96
480170061877,102
480170061878,224
480170061879,30
480170061880,1197
480170061881,24
480170061884,32
480170061885,36
480170061886,1222
480170061888,2
480170061890,74
480170061894,78
480170061895,72
480170061896,3
480170061897,107
480170061898,6
480170061900,150
480170061901,56
480170061902,3
480170061904,1
480170061905,3
480170061906,872
480170061910,5
480170061911,400
480170061912,154
480170061914,30
480170061915,105
480170061921,4
480170061922,110
480170061924,252
480170061925,31
480170061928,42
480170061931,39
480170061932,168
480170061933,27
480170061936,140
480170061937,520
480170061938,20
480170061944,11
480170061945,138
480170061950,2
480170061952,24
480170061954,42
480170061955,28
480170061956,10
480170061957,4
480170061958,1027
480170061959,29
480170061961,6
480170061963,80
480170061965,392
480170061966,16
480170061967,24
480170061968,64
480170061969,14
480170061974,1
480170061978,4
480170061979,510
480170061983,8
480170061984,2
480170061985,38
480170061986,60
480170061987,42
480170061988,40
480170061989,4
480170061990,17
480170061991,81
480170061992,14
480170061994,632
480170061996,280
480170062004,4
480170062006,15
480170062007,9
480170062008,180
480170062012,6
480170062014,14
480170062016,11
480170062017,2
480170062018,1
480170062019,10
