SEZ2011,P1,A46,A47,PF1,E3,E27,SEZ2011_2,Shape_Leng,Shape_Area,field_1,id,listing_ur,last_scrap,name,host_id,host_name,host_since,host_locat,host_total,neighbourh,latitude,longitude,room_type,accommodat,bedrooms,price,availabili,availabi_1,availabi_2,availabi_3,number_of_,number_o_1,license,instant_bo,calculated,reviews_pe
480170060544,"2","1","1","2","2","2",480170060544,196.594378393000000,2042.164564129999917,"633","1546383",https://www.airbnb.com/rooms/1546383,2021/12/17,Classy Apartment San Frediano Oltrarno,"4779308",Ivana,2013/01/20,"Florence, Tuscany, Italy","2",Centro Storico,43.769060000000003,11.241920000000000,Entire home/apt,"3",1.000000000000000,100.000000000000000,"0","0","0","44","0","0",,t,"2",0.490000000000000
480170060545,"28","9","5","16","4","37",480170060545,186.739318808999997,1889.544402550000086,"1352","4751284",https://www.airbnb.com/rooms/4751284,2021/12/17,Firenze Rentals Ponte Vecchio,"1184644",Samuel & Paolo For Firenze Rentals®,2011/09/20,"Florence, Toscana, Italy","20",Centro Storico,43.768580000000000,11.253660000000000,Entire home/apt,"3",1.000000000000000,104.000000000000000,"26","56","86","315","8","1",,t,"8",3.300000000000000
480170060546,"381","39","114","176","24","181",480170060546,1227.740572650000104,37817.504836300002353,"3081","14309451",https://www.airbnb.com/rooms/14309451,2021/12/17,"Accogliente,confortevole,tranquillo","86471814",Silvia,2016/07/28,"Florence, Tuscany, Italy","1",Campo di Marte,43.767659999999999,11.306900000000001,Private room,"2",1.000000000000000,34.000000000000000,"0","0","16","291","0","0",,f,"1",1.210000000000000
480170060547,"106","10","31","49","9","53",480170060547,285.378277072000003,3442.859641030000148,"644","1604550",https://www.airbnb.com/rooms/1604550,2021/12/17,OASI IN THE HEART OF FLORENCE,"8548714",Marie,2013/08/31,"Florence, Tuscany, Italy","3",Centro Storico,43.768414000000000,11.258753000000000,Entire home/apt,"4",2.000000000000000,133.000000000000000,"8","12","12","164","34","8",,t,"3",3.430000000000000
480170060548,"2","0","0","2","3","10",480170060548,1303.804212710000229,66985.287967700001900,"470","1062104",https://www.airbnb.com/rooms/1062104,2021/12/17,Studio with parking in the center,"1211140",Federico,2011/09/26,"Lerici, Liguria, Italy","3",Campo di Marte,43.767499999999998,11.291960000000000,Entire home/apt,"4",1.000000000000000,65.000000000000000,"18","48","78","353","0","0",,f,"1",0.160000000000000
480170060549,"275","13","110","136","20","143",480170060549,481.697619894000013,13372.013572899999417,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060550,"5","0","2","2","1","2",480170060550,195.615451709000013,1253.480142829999977,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060551,"154","24","52","85","17","94",480170060551,308.687083074999975,4609.271925310000370,"294","670827",https://www.airbnb.com/rooms/670827,2021/12/17,Charming apt next to  Uffizi museum,"3399499",Camilla,2012/08/28,"Province of Florence, Tuscany, Italy","5",Centro Storico,43.768310000000000,11.258190000000001,Entire home/apt,"2",1.000000000000000,70.000000000000000,"7","12","24","194","0","0",,f,"1",2.420000000000000
480170060552,"177","3","72","82","15","83",480170060552,542.190808554000000,12514.471189500000037,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060553,"332","28","101","148","54","149",480170060553,1134.092280320000100,25222.389131700001599,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060554,"5","0","2","3","3","13",480170060554,182.465683356000000,1777.232255220000070,"148","336259",https://www.airbnb.com/rooms/336259,2021/12/17,Oro 2 bdr with Terrace on Ponte Vecchio,"1702993",Marusca,2012/02/05,"Florence, Toscana, Italy","6",Centro Storico,43.768599999999999,11.253240000000000,Entire home/apt,"4",2.000000000000000,150.000000000000000,"0","0","0","205","0","0",,t,"5",0.880000000000000
480170060555,"273","9","102","124","23","132",480170060555,502.695604748999983,12892.532829399999173,"281","647298",https://www.airbnb.com/rooms/647298,2021/12/17,"Florence :A room with a ""view"" on Italian language","3245088",Annamaria,2012/08/13,"Florence, Tuscany, Italy","1",Isolotto Legnaia,43.769300000000001,11.218830000000001,Private room,"2",1.000000000000000,23.000000000000000,"6","6","6","45","5","1",,f,"1",1.350000000000000
480170060556,"78","7","30","38","3","36",480170060556,208.771538020999998,2815.993882809999832,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060557,"219","42","69","126","34","116",480170060557,667.991562638000005,25011.023236199998792,"1313","4561904",https://www.airbnb.com/rooms/4561904,2021/12/17,Elegant and bright Located in the historic center.,"5399820",Miria,2013/03/10,"Florence, Tuscany, Italy","3",Centro Storico,43.768900000000002,11.241040000000000,Private room,"2",2.000000000000000,55.000000000000000,"0","0","16","205","0","0",,f,"1",1.680000000000000
480170060558,"106","22","32","63","16","63",480170060558,258.327428822999991,3742.800040059999901,"790","2269944",https://www.airbnb.com/rooms/2269944,2021/12/17,FIRENZE SANT'AMBROGIO (MACCI),"6877467",Nato,2013/06/12,"Florence, Tuscany, Italy","5",Centro Storico,43.768619999999999,11.265180000000001,Entire home/apt,"4",2.000000000000000,100.000000000000000,"5","5","5","241","1","0",,f,"5",0.070000000000000
480170060559,"25","5","5","13","4","27",480170060559,932.240796609999961,53791.749661399997422,"35","66598",https://www.airbnb.com/rooms/66598,2021/12/17,Santa Croce wonderful and cozy apartment,"323151",Mauro,2010/12/20,"Florence, Toscana, Italy","4",Centro Storico,43.767870000000002,11.263240000000000,Entire home/apt,"7",2.000000000000000,95.000000000000000,"0","12","42","225","0","0",,f,"4",1.020000000000000
480170060560,"82","24","18","49","9","58",480170060560,359.300360609999984,7605.751634039999772,"491","1126162",https://www.airbnb.com/rooms/1126162,2021/12/17,PIAZZA PITTI -CENTER FLORENCE,"6178081",Caterina Ricci,2013/05/01,"Florence, Tuscany, Italy","1",Centro Storico,43.768780000000000,11.248880000000000,Entire home/apt,"4",1.000000000000000,50.000000000000000,"14","29","29","221","0","0",,f,"1",1.320000000000000
