SEZ2011,AGG_COUNT,bedrooms,E27,E3,listing_building_rate,bedroom_apartments_rate
480170060308,17,22,4726,1037,1.639344262295082,0.46550994498518833
480170060309,8,9,3064,520,1.5384615384615385,0.29373368146214096
480170060310,6,10,1224,96,6.25,0.8169934640522877
480170060313,5,7,910,145,3.4482758620689653,0.7692307692307693
480170060314,3,3,495,63,4.761904761904762,0.6060606060606061
480170060315,2,2,250,46,4.3478260869565215,0.8
480170060316,1,0,30,9,11.11111111111111,0.0
480170060317,9,12,1116,108,8.333333333333332,1.0752688172043012
480170060318,1,1,46,9,11.11111111111111,2.1739130434782608
480170060320,1,2,54,25,4.0,3.7037037037037033
480170060323,2,9,50,22,9.090909090909092,18.0
480170060324,2,14,120,46,4.3478260869565215,11.666666666666666
480170060328,2,2,494,104,1.9230769230769231,0.4048582995951417
480170060329,3,3,453,183,1.639344262295082,0.6622516556291391
480170060332,1,2,108,35,2.857142857142857,1.8518518518518516
480170060333,1,1,59,6,16.666666666666664,1.694915254237288
480170060335,2,2,148,60,3.3333333333333335,1.3513513513513513
480170060336,2,3,350,96,2.083333333333333,0.8571428571428572
480170060337,6,12,42,42,14.285714285714285,28.57142857142857
480170060339,12,16,924,324,3.7037037037037033,1.7316017316017316
480170060340,7,8,378,168,4.166666666666666,2.1164021164021163
480170060341,4,7,36,36,11.11111111111111,19.444444444444446
480170060342,2,3,186,64,3.125,1.6129032258064515
480170060343,9,10,2304,774,1.1627906976744187,0.4340277777777778
480170060348,1,1,538,50,2.0,0.18587360594795538
480170060349,2,2,600,132,1.5151515151515151,0.33333333333333337
480170060350,1,1,19,7,14.285714285714285,5.263157894736842
480170060353,4,5,8,8,50.0,62.5
480170060357,9,9,1071,225,4.0,0.8403361344537815
480170060358,2,3,168,28,7.142857142857142,1.7857142857142856
480170060360,12,17,612,84,14.285714285714285,2.7777777777777777
480170060361,17,29,2686,714,2.380952380952381,1.0796723752792257
480170060362,36,49,3564,576,6.25,1.3748597081930416
480170060364,2,2,250,6,33.33333333333333,0.8
480170060366,7,11,364,91,7.6923076923076925,3.021978021978022
480170060367,13,18,1144,273,4.761904761904762,1.5734265734265735
480170060368,8,12,624,248,3.225806451612903,1.9230769230769231
480170060369,13,18,1781,286,4.545454545454546,1.0106681639528354
480170060370,2,3,62,14,14.285714285714285,4.838709677419355
480170060371,11,18,264,88,12.5,6.8181818181818175
480170060372,2,3,236,72,2.7777777777777777,1.2711864406779663
480170060374,15,19,1170,135,11.11111111111111,1.6239316239316242
480170060376,1,2,19,6,16.666666666666664,10.526315789473683
480170060379,2,2,264,72,2.7777777777777777,0.7575757575757576
480170060381,52,71,8840,1872,2.7777777777777777,0.8031674208144796
480170060382,12,17,936,180,6.666666666666667,1.8162393162393164
480170060383,9,14,486,81,11.11111111111111,2.880658436213992
480170060384,17,35,2023,867,1.9607843137254901,1.7301038062283738
480170060385,1,1,11,5,20.0,9.090909090909092
480170060388,1,0,60,14,7.142857142857142,0.0
480170060389,1,2,68,6,16.666666666666664,2.941176470588235
480170060390,6,5,594,108,5.555555555555555,0.8417508417508417
480170060391,2,2,438,40,5.0,0.45662100456621
480170060392,2,2,220,6,33.33333333333333,0.9090909090909091
480170060393,24,35,5784,1416,1.694915254237288,0.6051175656984786
480170060394,7,9,371,77,9.090909090909092,2.4258760107816713
480170060395,1,1,31,7,14.285714285714285,3.225806451612903
480170060397,2,2,108,10,20.0,1.8518518518518516
480170060402,7,12,329,126,5.555555555555555,3.64741641337386
480170060403,25,56,2050,375,6.666666666666667,2.731707317073171
480170060406,5,5,1395,210,2.380952380952381,0.35842293906810035
480170060407,4,6,204,36,11.11111111111111,2.941176470588235
480170060408,16,20,2288,352,4.545454545454546,0.8741258741258742
480170060409,45,63,6435,1305,3.4482758620689653,0.9790209790209791
480170060410,11,12,737,110,10.0,1.6282225237449117
480170060412,19,29,1881,304,6.25,1.541733120680489
480170060415,2,2,254,36,5.555555555555555,0.7874015748031495
480170060416,7,12,168,28,25.0,7.142857142857142
480170060418,5,8,375,90,5.555555555555555,2.1333333333333333
480170060419,5,11,35,5,100.0,31.428571428571427
480170060420,3,3,231,12,25.0,1.2987012987012987
480170060421,25,33,875,300,8.333333333333332,3.7714285714285714
480170060422,2,4,12,2,100.0,33.33333333333333
480170060425,36,42,6012,1440,2.5,0.6986027944111777
480170060428,4,14,56,4,100.0,25.0
480170060430,1,3,31,10,10.0,9.67741935483871
480170060431,14,23,1848,210,6.666666666666667,1.2445887445887447
480170060432,6,11,276,30,20.0,3.985507246376811
480170060433,21,45,2625,399,5.263157894736842,1.7142857142857144
480170060434,9,42,117,9,100.0,35.8974358974359
480170060435,29,40,6322,1276,2.272727272727273,0.6327111673521038
480170060436,227,335,152090,38136,0.5952380952380952,0.22026431718061676
480170060437,9,15,288,90,10.0,5.208333333333334
480170060440,4,5,504,56,7.142857142857142,0.992063492063492
480170060443,1,3,81,20,5.0,3.7037037037037033
480170060444,19,32,1064,190,10.0,3.007518796992481
480170060446,3,5,561,51,5.88235294117647,0.8912655971479502
480170060448,34,46,3638,442,7.6923076923076925,1.2644310060472788
480170060449,3,6,582,45,6.666666666666667,1.0309278350515463
480170060450,15,22,945,120,12.5,2.328042328042328
480170060452,4,7,28,12,33.33333333333333,25.0
480170060453,1,1,149,11,9.090909090909092,0.6711409395973155
480170060455,7,10,2338,147,4.761904761904762,0.42771599657827203
480170060456,14,31,476,84,16.666666666666664,6.512605042016808
480170060458,1,1,11,6,16.666666666666664,9.090909090909092
480170060459,1,1,171,10,10.0,0.5847953216374269
480170060460,64,88,15296,3200,2.0,0.5753138075313807
480170060461,1,1,132,18,5.555555555555555,0.7575757575757576
480170060464,2,1,338,28,7.142857142857142,0.2958579881656805
480170060465,1,1,6,3,33.33333333333333,16.666666666666664
480170060466,9,14,990,216,4.166666666666666,1.4141414141414141
480170060469,1,1,148,10,10.0,0.6756756756756757
