host_id,AGG_COUNT,host_total_listings_count,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,bedrooms,accommodates
"116937575","1","1","1","1","0","2","3"
"1169561","3","9","3","3","3","2","12"
"116974707","1","1","1","1","0","1","3"
"11701916","8","48","8","0","8","9","23"
"1170921","1","1","1","1","0","2","4"
"117135317","1","1","1","0","0","1","2"
"117152024","1","1","1","0","0","1","1"
"11717603","1","2","1","1","0","1","4"
"117302359","1","1","1","1","0","4","8"
"117430127","1","1","1","1","0","1","3"
"117452769","5","20","5","4","5","9","21"
"117453286","1","1","1","1","0","3","5"
"117594827","1","1","1","1","0","1","2"
"11780175","1","0","1","1","0","1","4"
"117809814","1","1","1","0","0","1","1"
"117971859","2","4","2","1","0","3","9"
"118058902","1","0","1","1","0","1","4"
"11808313","1","1","1","1","0","1","4"
"118105139","2","0","2","0","0","4","6"
"11812692","1","1","1","0","0","1","2"
"1181617","1","1","1","1","0","1","2"
"11816313","1","1","1","1","0","3","4"
"118177131","4","16","4","0","4","4","10"
"118207482","1","1","1","1","0","2","4"
"11824095","3","6","3","3","0","2","7"
"1184498","2","2","2","0","0","2","4"
"1184644","8","160","8","8","8","13","32"
"11849185","4","20","4","4","4","17","37"
"118544464","2","4","2","2","0","3","8"
"118560553","1","1","1","1","0","2","3"
"118631295","1","1","1","1","0","1","4"
"11867344","3","9","3","3","3","3","12"
"118690438","1","1","1","0","0","1","2"
"118710407","1","1","1","1","0","1","4"
"118847958","1","1","1","1","0","2","3"
"118850477","1","0","1","1","0","2","4"
"118956463","6","54","6","6","6","22","59"
"11898591","1","1","1","1","0","1","2"
"119113341","1","1","1","1","0","1","4"
"11925047","2","6","2","2","2","2","4"
"11925757","11","297","11","1","11","15","45"
"119285432","1","2","1","1","0","1","4"
"11929875","1","1","1","1","0","2","3"
"119321826","1","1","1","0","0","1","2"
"119437248","1","1","1","1","0","1","4"
"119591082","2","6","2","2","2","3","11"
"119633891","2","4","2","2","0","1","8"
"11965164","1","1","1","0","0","1","1"
"119746760","2","4","1","0","0","2","4"
"119965794","1","1","1","1","0","2","4"
"11996749","1","1","1","1","0","2","7"
"120136521","1","2","1","1","0","1","2"
"12019673","1","1","1","0","0","1","2"
"120212253","1","1","1","1","0","1","4"
"12022326","1","1","0","1","0","1","4"
"12025097","1","1","1","1","0","1","2"
"120271769","1","6","1","1","1","1","1"
"120386633","1","1","1","1","0","1","4"
"12049698","1","1","1","1","0","2","5"
"120500032","1","0","1","1","0","1","2"
"120506927","1","1","1","1","0","1","5"
"12053607","1","0","1","1","0","2","6"
"120673146","1","1","1","1","0","2","4"
"120686784","6","24","6","6","6","13","35"
"120686796","2","2","2","2","0","6","12"
"1206885","1","1","0","0","0","1","2"
"120733706","1","2","1","1","0","2","4"
"12076415","1","1","1","1","0","1","4"
"120876480","1","1","1","1","0","2","5"
"12089199","4","16","4","4","4","4","15"
"12092397","1","1","1","1","0","1","4"
"120964382","1","2","1","0","0","1","1"
"1210157","1","1","1","1","0","2","4"
"12105696","1","0","0","1","0","1","2"
"121080571","3","0","3","3","0","4","10"
"12109193","1","1","1","1","0","1","2"
"1211140","1","3","1","1","1","1","4"
"12116818","4","16","4","4","4","4","15"
"121198239","1","1","1","1","0","2","5"
"121210988","1","1","1","1","0","1","2"
"121234927","1","1","1","0","0","1","2"
"121313597","1","1","1","1","0","2","4"
"121324007","1","1","1","1","0","2","4"
"121331148","4","4","4","4","0","9","18"
"121397417","1","1","1","1","0","1","4"
"12144888","3","0","3","3","0","3","6"
"1214786","2","16","2","2","2","3","9"
"121529382","1","1","1","1","0","4","7"
