census_tract_id,accommodates_on_airbnb
480170061089,2
480170061090,64
480170061091,34
480170061092,116
480170061094,210
480170061095,3
480170061099,2
480170061100,17
480170061104,10
480170061106,1
480170061109,1
480170061110,51
480170061111,5
480170061112,104
480170061114,6
480170061115,105
480170061118,2
480170061119,7
480170061120,5
480170061121,57
480170061123,10
480170061124,2
480170061125,5
480170061127,6
480170061132,100
480170061133,9
480170061134,2
480170061135,84
480170061137,10
480170061141,81
480170061145,8
480170061149,152
480170061150,2
480170061153,29
480170061157,79
480170061160,93
480170061161,3
480170061165,35
480170061169,3
480170061170,81
480170061173,4
480170061174,10
480170061176,13
480170061177,196
480170061179,14
480170061180,13
480170061183,3
480170061186,91
480170061191,4
480170061194,141
480170061196,8
480170061201,61
480170061203,8
480170061206,10
480170061208,16
480170061210,6
480170061213,6
480170061214,22
480170061217,17
480170061221,177
480170061222,30
480170061223,16
480170061224,7
480170061226,291
480170061232,63
480170061235,25
480170061237,2
480170061238,6
480170061239,3
480170061243,5
480170061244,113
480170061245,8
480170061247,32
480170061249,11
480170061251,8
480170061252,63
480170061257,69
480170061258,3
480170061259,55
480170061261,69
480170061262,8
480170061263,79
480170061266,4
480170061268,41
480170061270,3
480170061271,21
480170061273,7
480170061275,10
480170061276,120
480170061277,2
480170061278,4
480170061279,31
480170061280,37
480170061283,29
480170061285,17
480170061286,91
480170061288,92
480170061290,7
480170061292,2
480170061294,12
480170061295,2
480170061296,38
480170061297,8
480170061299,27
480170061300,14
480170061301,130
480170061303,29
480170061305,15
480170061309,21
480170061312,5
480170061314,7
480170061315,76
480170061317,125
480170061318,20
480170061321,65
480170061325,49
480170061326,112
480170061328,12
480170061329,4
480170061331,2
480170061333,25
480170061335,22
480170061336,55
480170061338,59
480170061339,6
480170061340,12
480170061341,44
480170061343,41
480170061344,2
480170061345,32
480170061346,8
480170061347,26
480170061348,38
480170061349,44
480170061350,31
480170061352,14
480170061353,17
480170061354,2
480170061355,4
480170061358,20
480170061359,19
480170061360,6
480170061361,15
480170061362,1
480170061363,2
480170061365,13
480170061366,62
480170061368,4
480170061369,17
480170061370,42
480170061371,2
480170061375,10
480170061377,182
480170061378,10
480170061379,14
480170061380,18
480170061381,10
480170061383,11
480170061384,8
480170061386,2
480170061388,18
480170061390,53
480170061391,2
480170061393,52
480170061394,1
480170061395,47
480170061396,11
480170061397,5
480170061399,14
480170061400,113
480170061401,10
480170061402,8
480170061403,11
480170061404,25
480170061406,2
480170061408,23
480170061410,12
480170061411,4
480170061412,8
480170061414,43
480170061415,13
480170061416,8
480170061418,14
480170061419,10
480170061420,2
480170061422,18
480170061423,93
480170061424,56
480170061425,16
480170061426,8
480170061427,6
480170061429,19
480170061431,12
480170061432,3
480170061433,2
480170061434,11
480170061435,26
480170061436,66
480170061437,4
480170061439,17
480170061440,21
480170061442,10
480170061443,2
480170061444,6
480170061445,27
480170061446,4
480170061448,3
480170061449,6
480170061450,42
480170061451,13
480170061452,14
480170061453,8
480170061454,4
480170061457,2
480170061458,2
480170061459,28
480170061460,5
480170061461,2
480170061463,21
480170061464,14
480170061465,4
480170061466,10
480170061467,3
480170061469,43
480170061470,8
480170061473,8
480170061474,8
480170061476,53
480170061477,4
480170061478,12
480170061479,39
480170061480,14
480170061481,14
480170061482,6
480170061483,4
480170061485,14
480170061487,10
480170061488,12
480170061489,12
480170061490,7
480170061491,22
480170061492,22
480170061493,16
480170061496,15
480170061497,20
480170061498,12
480170061499,2
480170061500,2
480170061501,5
480170061502,11
480170061503,14
480170061506,2
480170061507,8
480170061508,31
480170061510,14
480170061511,7
480170061512,6
480170061514,15
480170061516,4
480170061517,2
480170061519,4
480170061520,11
480170061521,36
480170061522,7
480170061523,17
480170061524,4
480170061525,14
480170061528,3
480170061529,8
480170061531,66
480170061535,16
480170061536,20
480170061537,12
480170061539,2
480170061540,2
480170061541,22
480170061542,4
480170061544,31
480170061545,4
480170061546,13
480170061547,9
480170061548,13
480170061549,28
480170061551,18
480170061552,23
480170061553,2
480170061554,12
480170061556,15
480170061557,8
480170061559,9
480170061560,9
480170061561,2
480170061562,1
480170061563,16
480170061564,6
480170061565,9
480170061567,2
480170061568,16
480170061569,1
480170061570,11
480170061571,6
480170061572,12
480170061573,10
480170061574,12
480170061575,8
480170061576,2
480170061578,13
480170061579,16
480170061580,7
480170061581,10
480170061582,29
480170061583,4
480170061585,36
480170061587,7
480170061589,8
480170061590,1
480170061593,18
480170061594,7
480170061596,16
480170061597,4
480170061598,40
480170061599,5
480170061600,10
480170061601,26
480170061602,4
480170061604,4
480170061605,2
480170061606,41
480170061607,24
480170061608,6
480170061609,6
480170061612,4
480170061613,27
480170061616,56
480170061619,6
480170061620,8
480170061622,4
480170061623,19
480170061624,15
480170061626,6
480170061629,42
480170061630,5
480170061632,37
480170061634,15
480170061637,2
480170061638,2
480170061639,7
480170061640,3
480170061641,17
480170061643,2
480170061645,13
480170061646,30
480170061647,10
480170061649,21
480170061650,4
480170061652,2
480170061653,6
480170061654,6
480170061655,7
480170061656,10
480170061659,28
480170061660,2
480170061661,34
480170061663,22
480170061664,20
480170061665,6
480170061667,23
480170061668,8
480170061669,48
480170061670,14
480170061672,17
480170061673,10
480170061674,6
480170061675,4
480170061677,10
480170061681,8
480170061683,4
480170061684,39
480170061685,4
480170061686,11
480170061688,13
480170061689,6
480170061691,14
480170061692,10
480170061693,23
480170061694,13
480170061695,26
480170061696,2
480170061697,2
480170061698,5
480170061699,24
480170061700,12
480170061701,16
480170061704,4
480170061710,8
480170061712,7
480170061713,9
480170061714,14
480170061715,3
480170061716,8
480170061721,3
480170061722,13
480170061724,2
480170061732,18
480170061734,2
480170061736,11
480170061737,14
480170061738,27
480170061739,20
480170061742,17
480170061744,2
480170061745,4
480170061747,5
480170061750,12
480170061752,10
480170061754,4
480170061755,13
480170061759,2
480170061760,4
480170061764,2
480170061768,6
480170061769,7
480170061770,5
480170061771,4
480170061772,2
480170061779,6
480170061781,2
480170061782,1
480170061783,3
480170061786,2
480170061787,2
480170061792,19
480170061793,7
480170061794,24
480170061796,4
480170061798,7
480170061799,4
480170061804,14
480170061805,9
480170061808,11
480170061813,7
480170061814,6
480170061816,4
480170061817,22
480170061819,3
480170061820,10
480170061822,4
480170061824,10
480170061826,10
480170061827,17
480170061831,10
480170061832,26
480170061834,26
480170061838,1
480170061840,16
480170061844,6
480170061848,14
480170061850,15
480170061853,4
480170061856,5
480170061858,6
480170061862,14
480170061863,4
480170061866,4
480170061867,6
480170061869,8
480170061870,8
480170061873,8
480170061877,11
480170061878,15
480170061879,3
480170061880,63
480170061881,10
480170061884,6
480170061885,8
480170061886,44
480170061888,4
480170061890,5
480170061894,5
480170061895,4
480170061896,6
480170061897,9
480170061898,8
480170061900,20
480170061901,7
480170061902,4
480170061904,2
480170061905,4
480170061906,28
480170061910,2
480170061911,10
480170061912,17
480170061914,21
480170061915,12
480170061921,10
480170061922,10
480170061924,12
480170061925,4
480170061928,6
480170061931,9
480170061932,20
480170061933,10
480170061936,9
480170061937,30
480170061938,3
480170061944,2
480170061945,7
480170061950,5
480170061952,2
480170061954,3
480170061955,5
480170061956,4
480170061957,1
480170061958,46
480170061959,4
480170061961,4
480170061963,10
480170061965,21
480170061966,3
480170061967,2
480170061968,8
480170061969,2
480170061974,2
480170061978,15
480170061979,20
480170061983,5
480170061984,2
480170061985,12
480170061986,8
480170061987,7
480170061988,34
480170061989,5
480170061990,4
480170061991,13
480170061992,4
480170061994,25
480170061996,15
480170062004,9
480170062006,3
480170062007,8
480170062008,18
480170062012,6
480170062014,6
480170062016,4
480170062017,2
480170062018,5
480170062019,4
480170062020,13
480170062021,5
480170062024,2
480170062025,8
480170062026,7
480170062027,1
480170062032,10
480170062035,35
480170062036,8
480170062040,5
480170062041,11
480170062048,2
480170062049,3
480170062050,19
480170062052,4
480170062054,4
480170062055,11
480170062057,2
480170062058,2
480170062059,4
480170062062,9
480170062066,5
480170062069,4
480170062072,4
480170062079,15
480170062081,3
480170062085,4
480170062087,3
480170062089,3
480170062090,43
480170062091,4
480170062093,20
480170062094,16
480170062096,16
480170062097,41
480170062098,4
480170062099,5
480170062103,3
480170062105,6
480170062106,4
480170062108,2
480170062109,6
480170062110,4
480170062111,7
480170062119,4
480170062120,21
480170062121,7
480170062122,5
480170062124,2
480170062125,12
480170062126,21
480170062127,33
480170062131,13
480170062133,4
480170062135,5
480170062137,2
480170062140,13
480170062142,8
480170062143,6
480170062147,4
480170062149,10
480170062150,5
480170062154,25
480170062155,5
480170062157,2
480170062158,2
480170062159,8
480170062160,2
480170062161,9
480170062162,5
480170062163,4
480170062164,10
480170062167,7
480170062169,8
480170062177,303
480170062181,4
480170062186,6
