SEZ2011,A46
480170061099,0
480170061100,128
480170061104,69
480170061106,58
480170061109,2
480170061110,294
480170061111,223
480170061112,1176
480170061114,104
480170061115,621
480170061118,0
480170061119,146
480170061120,8
480170061121,162
480170061123,3
480170061124,31
480170061125,16
480170061127,78
480170061132,350
480170061133,8
480170061134,32
480170061135,231
480170061137,172
480170061141,189
480170061145,34
480170061149,1848
480170061150,22
480170061153,154
480170061157,738
480170061160,552
480170061161,23
480170061165,546
480170061169,18
480170061170,306
480170061173,4
480170061174,102
480170061176,24
480170061177,2650
480170061179,36
480170061180,36
480170061183,35
480170061186,374
480170061191,2
480170061194,1400
480170061196,1
480170061201,272
480170061203,6
480170061206,51
480170061208,175
480170061210,289
480170061213,8
480170061214,0
480170061217,72
480170061221,1680
480170061222,200
480170061223,72
480170061224,34
480170061226,5063
480170061232,231
480170061235,0
480170061237,24
480170061238,42
480170061239,280
480170061243,15
480170061244,828
480170061245,78
480170061247,30
480170061249,6
480170061251,39
480170061252,572
480170061257,48
480170061258,158
480170061259,0
480170061261,16
480170061262,176
480170061263,891
480170061266,59
480170061268,72
480170061270,2
480170061271,14
480170061273,28
480170061275,0
480170061276,1620
480170061277,3
480170061278,5
480170061279,14
480170061280,208
480170061283,35
480170061285,4
480170061286,552
480170061288,242
480170061290,82
480170061292,6
480170061294,8
480170061295,13
480170061296,63
480170061297,20
480170061299,12
480170061300,36
480170061301,1050
480170061303,136
480170061305,72
480170061309,24
480170061312,52
480170061314,9
480170061315,714
480170061317,1240
480170061318,72
480170061321,374
480170061325,65
480170061326,532
480170061328,3
480170061329,2
480170061331,18
480170061333,296
480170061335,144
480170061336,1376
480170061338,204
480170061339,6
480170061340,184
480170061341,11
480170061343,184
480170061344,0
480170061345,189
480170061346,6
480170061347,108
480170061348,210
480170061349,341
480170061350,384
480170061352,45
480170061353,60
480170061354,90
480170061355,0
480170061358,88
480170061359,24
480170061360,9
480170061361,6
480170061362,5
480170061363,0
480170061365,0
480170061366,209
480170061368,20
480170061369,35
480170061370,310
480170061371,16
480170061375,22
480170061377,1242
480170061378,66
480170061379,78
480170061380,72
480170061381,8
480170061383,225
480170061384,140
480170061386,12
480170061388,0
480170061390,154
480170061391,3
480170061393,176
480170061394,5
480170061395,0
480170061396,8
480170061397,0
480170061399,12
480170061400,442
480170061401,81
480170061402,24
480170061403,44
480170061404,343
480170061406,12
480170061408,72
480170061410,0
480170061411,192
480170061412,80
480170061414,65
480170061415,205
480170061416,6
480170061418,84
480170061419,78
480170061420,16
