SEZ2011,AGG_COUNT,commercial,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,A46,A47,PF1
"480170060642","31","29","30","27","22","248","589","1085"
"480170060643","22","19","20","20","18","110","198","352"
"480170060644","13","10","12","12","5","13","78","130"
"480170060645","4","3","4","4","3","40","80","140"
"480170060646","3","3","3","1","3","162","795","1023"
"480170060647","6","5","5","4","3","24","30","72"
"480170060648","13","8","13","11","8","247","351","715"
"480170060649","5","3","5","4","2","135","560","755"
"480170060650","33","17","29","24","12","330","1188","1749"
"480170060652","17","11","17","15","10","391","1479","2125"
"480170060653","19","15","19","16","11","228","627","931"
"480170060654","17","12","14","12","3","561","1190","2159"
"480170060655","13","11","13","10","8","273","507","845"
"480170060656","1","1","1","1","0","9","71","88"
"480170060659","11","5","11","5","1","506","1683","2310"
"480170060660","12","11","12","11","9","36","132","192"
"480170060661","1","0","0","1","0","10","50","66"
"480170060662","11","10","11","9","8","110","22","132"
"480170060663","5","5","5","4","4","0","0","0"
"480170060664","5","4","4","5","2","35","55","90"
"480170060665","6","3","5","6","3","48","42","108"
"480170060666","6","6","6","5","4","24","30","90"
"480170060667","9","4","9","8","2","99","432","594"
"480170060668","11","6","10","8","4","66","308","462"
"480170060669","9","6","7","7","5","27","72","126"
"480170060671","30","22","28","25","19","1110","1680","3030"
"480170060673","15","8","15","9","8","330","1605","2145"
"480170060674","15","12","15","13","8","240","930","1365"
"480170060675","4","2","4","3","2","0","0","0"
"480170060676","1","1","0","1","1","0","3","3"
"480170060677","2","1","1","2","1","0","0","16"
"480170060678","2","2","2","1","1","118","198","342"
"480170060681","2","2","2","1","2","0","0","4"
"480170060682","29","29","29","21","25","319","435","1015"
"480170060683","17","12","16","15","10","323","374","765"
"480170060684","2","1","2","1","1","30","74","114"
"480170060685","15","6","14","13","1","585","1770","2655"
"480170060686","4","4","4","3","1","0","0","0"
"480170060687","6","2","6","4","1","1494","426","1974"
"480170060689","3","2","2","3","2","0","0","0"
"480170060690","2","1","2","2","1","0","0","0"
"480170060691","3","2","3","3","2","0","0","0"
"480170060692","4","4","4","2","3","36","72","112"
"480170060693","16","14","10","15","14","176","272","464"
"480170060694","13","11","13","10","9","273","1404","1833"
"480170060695","2","2","2","2","1","2","4","6"
"480170060699","3","2","3","1","2","21","105","147"
"480170060700","18","13","17","16","13","54","18","144"
"480170060701","11","9","9","10","7","22","66","110"
"480170060702","8","5","8","6","4","56","128","208"
"480170060703","6","5","5","6","5","60","12","78"
"480170060704","3","1","3","3","1","18","69","93"
"480170060705","8","6","7","7","3","0","0","0"
"480170060706","11","9","11","11","5","253","209","462"
"480170060707","11","8","11","10","8","55","154","231"
"480170060709","10","9","9","10","7","20","70","140"
"480170060710","8","5","8","4","1","528","728","1352"
"480170060711","20","18","20","11","13","40","40","140"
"480170060712","1","1","1","1","0","3","4","8"
"480170060713","12","9","11","10","8","48","36","108"
"480170060714","3","2","2","2","2","24","24","48"
"480170060715","13","12","10","8","9","65","546","689"
"480170060717","6","3","6","4","3","138","498","684"
"480170060718","3","3","2","3","2","9","0","9"
"480170060719","2","1","2","2","0","108","390","522"
"480170060720","6","3","6","4","2","6","0","6"
"480170060721","9","8","9","9","6","0","0","0"
"480170060722","1","0","1","1","0","15","37","59"
"480170060724","6","5","6","6","4","0","0","0"
"480170060725","5","4","5","5","2","0","20","25"
"480170060726","1","0","1","1","0","16","50","72"
"480170060727","1","1","1","0","0","18","7","26"
"480170060728","1","0","1","1","0","0","0","0"
"480170060730","9","6","8","7","6","36","216","315"
"480170060731","12","10","12","7","8","492","1212","1860"
"480170060732","4","3","4","2","1","68","244","340"
"480170060733","1","1","1","0","0","0","2","2"
"480170060734","28","25","26","21","17","812","728","1820"
"480170060735","12","10","11","9","8","144","168","396"
"480170060738","5","3","5","4","3","5","5","10"
"480170060740","9","5","9","9","3","423","117","576"
"480170060741","9","6","9","8","4","18","207","243"
"480170060743","8","5","7","7","4","48","40","112"
"480170060746","15","11","14","15","7","240","240","495"
"480170060747","22","11","21","19","9","550","1012","1694"
"480170060748","8","7","7","8","4","152","80","256"
"480170060750","9","6","9","7","5","36","90","153"
"480170060751","2","2","2","2","2","0","0","0"
"480170060752","7","7","7","7","5","7","35","70"
"480170060753","11","9","11","11","7","33","66","132"
"480170060754","22","17","19","11","16","374","682","1298"
"480170060755","16","14","13","15","10","208","880","1264"
"480170060756","15","13","13","15","13","285","600","1170"
"480170060757","10","6","10","9","5","50","150","250"
"480170060758","12","8","11","11","6","0","0","0"
"480170060759","2","2","2","0","1","36","2","40"
"480170060760","13","11","12","9","7","143","637","962"
"480170060761","6","2","6","6","0","0","0","0"
"480170060762","2","1","2","2","1","8","30","40"
"480170060763","45","27","42","41","22","2925","6480","10215"
"480170060764","3","1","3","3","1","39","75","135"
"480170060765","1","0","1","1","0","4","3","8"
"480170060766","2","1","2","2","1","64","200","284"
"480170060767","6","5","5","6","4","90","114","228"
"480170060768","8","5","8","1","5","712","4032","5176"
"480170060771","11","3","11","9","1","143","297","473"
"480170060772","4","0","4","4","0","364","1312","1760"
"480170060774","2","1","2","1","1","8","70","82"
"480170060775","2","1","2","1","1","16","26","42"
"480170060777","9","8","8","7","4","36","45","90"
"480170060779","7","3","6","4","3","133","679","896"
"480170060781","19","12","18","14","8","1007","2014","3382"
"480170060782","20","15","18","17","13","280","360","720"
"480170060783","3","0","2","2","0","207","426","708"
"480170060784","1","0","1","0","0","12","121","144"
"480170060785","7","7","6","1","7","35","203","294"
"480170060787","15","6","15","12","3","525","690","1275"
"480170060789","8","6","8","6","5","40","256","336"
"480170060790","4","3","2","3","3","0","4","4"
"480170060791","15","9","14","12","6","15","0","75"
"480170060793","4","3","4","4","2","0","0","0"
"480170060795","5","5","5","5","3","30","30","80"
"480170060796","7","5","7","7","2","77","77","168"
"480170060798","24","21","23","21","18","312","576","1128"
"480170060799","17","13","17","13","10","255","187","476"
"480170060800","13","12","13","12","9","195","156","468"
"480170060801","1","0","1","1","0","32","127","180"
"480170060802","3","0","3","2","0","60","108","195"
"480170060803","8","7","8","7","5","136","224","376"
"480170060804","46","37","46","43","32","1564","2668","4876"
"480170060807","1","0","1","1","0","11","42","62"
"480170060809","4","0","4","4","0","16","16","32"
"480170060810","12","11","11","6","10","156","264","540"
"480170060812","20","13","20","17","10","280","420","780"
"480170060815","29","21","29","26","16","2320","1189","3799"
"480170060816","2","2","2","1","1","4","4","8"
"480170060817","12","9","12","8","6","300","924","1356"
"480170060818","79","56","73","65","45","4503","6557","13193"
"480170060819","4","2","4","3","2","252","832","1164"
"480170060820","1","1","1","0","1","9","83","98"
"480170060821","1","0","1","1","0","2","5","7"
"480170060822","12","12","12","11","10","48","24","120"
"480170060823","2","1","2","2","1","10","0","16"
"480170060824","2","1","2","2","1","8","0","10"
"480170060825","15","12","13","13","8","195","645","960"
"480170060826","2","1","2","2","1","58","150","230"
"480170060827","1","1","1","1","1","0","0","0"
"480170060828","3","3","3","3","0","141","384","588"
"480170060829","11","7","10","10","6","44","0","55"
"480170060830","1","0","1","1","0","59","316","399"
"480170060831","1","0","1","0","0","11","39","55"
"480170060833","7","7","7","4","5","28","0","63"
"480170060835","6","2","6","4","1","120","720","906"
"480170060836","15","11","15","11","9","45","255","330"
"480170060837","2","2","2","2","1","10","6","20"
"480170060838","19","16","18","16","10","266","399","798"
"480170060839","9","4","9","5","4","45","54","162"
"480170060840","4","4","3","4","1","24","28","52"
"480170060841","6","4","6","3","3","108","342","528"
"480170060842","33","28","32","29","18","990","1386","2673"
"480170060843","6","5","6","1","5","108","636","780"
"480170060844","15","12","15","13","11","75","120","285"
"480170060845","1","1","1","1","1","10","45","65"
"480170060846","19","16","16","15","8","76","703","836"
"480170060847","32","27","31","26","20","1376","5952","8288"
"480170060848","1","1","1","1","1","1","1","5"
"480170060850","2","2","2","0","2","30","118","166"
"480170060851","7","6","7","6","4","105","259","399"
"480170060852","1","1","1","1","1","1","22","26"
"480170060855","9","7","8","8","5","72","216","333"
"480170060858","1","1","1","1","1","0","0","0"
"480170060859","1","0","1","1","0","38","100","151"
"480170060861","16","9","12","14","6","480","1104","1808"
"480170060862","1","1","1","1","1","13","19","35"
"480170060863","1","1","1","1","1","1","31","37"
"480170060864","9","4","9","8","3","270","1035","1440"
"480170060865","22","14","22","16","9","2662","4554","7920"
"480170060866","10","8","10","6","5","420","790","1310"
"480170060867","18","14","16","15","12","396","648","1080"
"480170060870","3","0","3","3","0","42","114","180"
"480170060873","4","0","4","2","0","136","608","800"
"480170060874","25","13","22","22","8","1275","3950","5875"
"480170060877","6","6","6","5","6","18","42","66"
"480170060878","1","0","1","1","0","15","80","101"
"480170060879","11","10","9","9","9","22","154","176"
"480170060881","5","4","4","3","4","10","0","30"
"480170060883","11","10","10","9","8","110","132","330"
"480170060884","5","4","4","3","1","0","25","30"
"480170060886","15","12","14","10","6","75","45","720"
"480170060887","5","5","5","3","5","50","80","140"
"480170060888","18","11","18","14","7","198","1080","1638"
"480170060890","1","0","1","1","0","12","23","43"
"480170060891","1","0","1","0","0","21","120","152"
"480170060892","1","1","1","0","0","0","6","6"
"480170060895","22","20","20","20","14","132","154","462"
"480170060896","2","1","2","2","0","24","50","84"
"480170060897","32","21","31","30","18","1312","4128","5856"
"480170060899","1","0","1","1","0","6","95","110"
"480170060902","12","7","12","7","2","108","288","600"
"480170060906","4","2","4","3","2","8","12","28"
