SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170060855,3.125,2.0,,
480170060858,6.0,,,
480170060859,5.0,,,
480170060861,4.357142857142857,,1.5,
480170060862,3.0,,,
480170060863,2.0,,,
480170060864,3.0,,2.0,
480170060865,4.0,,2.1666666666666665,
480170060866,4.833333333333333,,1.5,
480170060867,4.666666666666667,2.0,3.0,
480170060870,3.6666666666666665,,,
480170060873,5.0,,3.0,3.0
480170060874,3.772727272727273,,2.0,
480170060877,6.0,2.0,,
480170060878,4.0,,,
480170060879,5.888888888888889,,9.5,
480170060881,6.666666666666667,,2.5,
480170060883,5.0,2.0,4.0,
480170060884,3.0,,2.5,
480170060886,4.8,2.0,3.75,
480170060887,5.333333333333333,,2.5,
480170060888,5.285714285714286,,2.0,
480170060890,6.0,,,
480170060891,,,2.0,
480170060892,,,1.0,
480170060895,4.55,,1.5,
480170060896,4.5,,,
480170060897,4.833333333333333,,2.0,
480170060899,6.0,,,
480170060902,3.142857142857143,,2.0,
480170060906,4.0,5.0,,
480170060907,3.6666666666666665,,2.5,
480170060908,5.5,,2.0,
480170060910,2.0,,3.3333333333333335,
480170060911,3.0,,,
480170060912,,,2.0,
480170060915,4.0,,2.0,
480170060916,4.224137931034483,2.0,2.3125,
480170060917,5.8,,,
480170060918,4.0,2.0,,
480170060919,4.0,,2.0,
480170060920,6.0,,2.0,
480170060921,7.0,,2.0,
480170060922,4.0,,,
480170060924,4.0,2.0,3.0,
480170060927,3.0,,,
480170060928,4.0,,,
480170060930,3.6666666666666665,,3.0,
480170060931,3.0,,2.0,
480170060932,2.0,,1.0,
480170060933,3.5,,,
480170060934,3.409090909090909,,2.0,
480170060935,3.0,,2.0,
480170060936,3.142857142857143,,,
480170060937,3.5,,2.0,
480170060938,3.0,,,
480170060940,4.0,,,
480170060943,4.888888888888889,2.6666666666666665,2.9166666666666665,
480170060944,5.0,,2.0,
480170060945,3.6666666666666665,,2.6666666666666665,
480170060947,4.185185185185185,,2.2222222222222223,
480170060948,4.818181818181818,5.0,,
480170060949,4.4,,1.3333333333333333,
480170060950,2.0,,1.6666666666666667,
480170060952,4.666666666666667,,,
480170060953,3.0,,,
480170060954,7.0,,,
480170060955,4.0,,2.0,
480170060957,4.75,,2.5,
480170060958,4.0,,2.0,
480170060960,5.666666666666667,,,
480170060961,3.6296296296296298,,2.0,
480170060963,4.0,,2.0,
480170060964,3.3333333333333335,,,
480170060966,4.0,,2.0,
480170060967,3.25,,2.0,
480170060969,4.08,,2.6363636363636362,
480170060971,3.25,,1.0,
480170060973,4.636363636363637,,,
