SEZ2011,AGG_COUNT,bedrooms,accommodates,E27,PF1
"480170060473","5","3","16","985","830"
"480170060474","11","14","33","1309","1331"
"480170060475","34","57","162","1666","1632"
"480170060476","2","2","4","0","0"
"480170060477","27","51","152","2565","2646"
"480170060478","2","3","8","172","174"
"480170060479","18","28","71","0","0"
"480170060480","21","26","78","1449","1344"
"480170060482","2","5","13","34","28"
"480170060485","3","5","12","201","198"
"480170060488","3","3","6","513","453"
"480170060489","6","10","23","300","324"
"480170060490","1","1","2","55","53"
"480170060491","11","18","48","407","385"
"480170060492","22","36","99","1540","1254"
"480170060493","20","23","63","860","780"
"480170060495","1","1","2","151","157"
"480170060497","2","2","4","128","120"
"480170060499","19","29","70","1729","1691"
"480170060501","5","7","24","105","95"
"480170060502","1","1","4","69","72"
"480170060504","1","0","2","193","179"
"480170060505","3","3","8","252","255"
"480170060506","9","12","37","468","405"
"480170060507","2","2","5","184","188"
"480170060509","26","40","112","1794","1404"
"480170060510","49","65","174","18032","14651"
"480170060512","4","4","9","456","480"
"480170060513","13","21","67","845","650"
"480170060514","1","2","6","51","52"
"480170060515","3","3","7","450","459"
"480170060516","3","4","10","648","765"
"480170060517","3","4","16","33","36"
"480170060518","1","2","5","10","8"
"480170060521","10","14","34","640","510"
"480170060522","34","41","122","8602","6426"
"480170060523","6","9","27","342","306"
"480170060524","17","20","55","289","170"
"480170060525","2","5","10","262","218"
"480170060526","54","83","214","7128","5670"
"480170060527","2","4","8","188","188"
"480170060528","1","2","6","116","123"
"480170060529","19","38","101","57","38"
"480170060530","7","13","33","1113","805"
"480170060531","6","10","23","1710","1524"
"480170060533","29","42","123","1740","1450"
"480170060534","3","5","12","387","453"
"480170060535","9","11","38","225","135"
"480170060536","9","11","31","2502","2664"
"480170060538","8","13","32","184","168"
"480170060539","4","7","20","128","128"
"480170060540","1","0","2","116","119"
"480170060541","1","1","4","106","101"
"480170060542","20","34","77","2100","1500"
"480170060543","1","1","4","162","151"
"480170060544","7","8","23","14","14"
"480170060545","14","27","65","518","224"
"480170060546","1","1","2","181","176"
"480170060547","15","29","66","795","735"
"480170060548","2","4","10","20","4"
"480170060551","22","38","103","2068","1870"
"480170060554","9","16","38","117","27"
"480170060555","4","5","10","528","496"
"480170060557","19","27","70","2204","2394"
"480170060558","8","13","32","504","504"
"480170060559","70","111","289","1890","910"
"480170060560","14","19","57","812","686"
"480170060561","5","9","19","795","685"
"480170060563","10","13","32","1300","1420"
"480170060564","2","2","3","110","72"
"480170060565","24","37","110","3048","2136"
"480170060566","15","29","81","675","435"
"480170060568","2","3","6","202","160"
"480170060570","16","24","64","464","432"
"480170060571","19","31","78","494","703"
"480170060573","12","18","50","744","684"
"480170060574","53","81","210","1696","1537"
"480170060576","7","12","26","1260","1078"
"480170060577","43","89","200","3483","2838"
"480170060578","2","3","6","474","496"
"480170060580","2","3","8","484","468"
"480170060581","25","48","121","1200","1250"
"480170060582","3","4","7","423","399"
"480170060583","9","18","44","684","522"
"480170060584","19","26","80","1615","950"
"480170060585","4","6","16","232","120"
"480170060586","14","21","62","294","266"
"480170060588","19","27","75","1900","1824"
"480170060589","32","64","142","3680","2880"
"480170060590","13","15","30","1352","1014"
"480170060591","14","19","47","14","14"
"480170060592","8","11","31","1080","768"
"480170060593","26","39","96","6552","4472"
"480170060594","2","5","12","592","468"
"480170060595","11","20","49","649","462"
"480170060597","19","32","90","0","0"
"480170060598","1","2","5","154","132"
"480170060599","23","37","91","1656","1610"
"480170060600","1","1","1","82","56"
"480170060601","6","8","21","60","90"
"480170060602","2","2","8","228","152"
"480170060603","20","30","68","1240","1060"
"480170060604","2","2","6","0","0"
"480170060605","20","31","82","920","840"
"480170060606","56","73","190","8792","8400"
"480170060607","8","12","37","24","0"
"480170060608","16","29","59","816","448"
"480170060609","13","23","61","143","117"
"480170060612","5","8","19","135","180"
"480170060613","4","6","18","104","80"
"480170060614","15","19","57","2310","1905"
"480170060615","2","4","10","324","362"
"480170060616","4","4","8","756","700"
"480170060617","14","24","60","658","588"
"480170060619","17","24","65","68","119"
"480170060620","3","5","12","378","324"
"480170060621","6","18","37","66","60"
"480170060622","27","37","108","1782","1863"
"480170060623","14","17","54","714","378"
"480170060624","2","2","5","282","274"
"480170060625","11","11","41","429","253"
"480170060626","25","42","112","3725","3475"
"480170060628","20","27","75","2160","1900"
"480170060629","20","24","58","900","760"
"480170060630","12","16","45","288","204"
"480170060631","10","12","35","680","770"
"480170060632","12","14","37","1416","1356"
"480170060633","2","2","4","64","28"
"480170060634","2","3","7","464","478"
"480170060635","2","5","11","164","152"
"480170060636","4","9","18","44","32"
"480170060639","4","5","14","0","0"
"480170060640","5","5","16","150","135"
"480170060641","12","23","54","1008","156"
"480170060642","31","52","141","1581","1085"
"480170060643","22","27","87","594","352"
"480170060644","13","24","63","260","130"
"480170060645","4","6","17","124","140"
"480170060646","3","5","14","954","1023"
"480170060647","6","6","21","90","72"
"480170060648","13","18","54","858","715"
"480170060649","5","6","14","775","755"
"480170060650","33","50","128","2541","1749"
"480170060652","17","29","69","2771","2125"
"480170060653","19","33","83","950","931"
"480170060654","17","24","59","1785","2159"
"480170060655","13","19","45","650","845"
"480170060656","1","2","5","92","88"
"480170060659","11","13","36","2035","2310"
"480170060660","12","23","67","60","192"
"480170060661","1","0","2","78","66"
"480170060662","11","18","41","187","132"
"480170060663","5","7","19","5","0"
"480170060664","5","8","19","100","90"
"480170060665","6","10","27","156","108"
"480170060666","6","9","20","192","90"
"480170060667","9","13","34","1026","594"
"480170060668","11","16","39","594","462"
"480170060669","9","13","33","162","126"
"480170060671","30","40","113","3540","3030"
"480170060673","15","25","52","2835","2145"
"480170060674","15","21","58","1740","1365"
"480170060675","4","4","10","28","0"
"480170060676","1","6","12","5","3"
"480170060677","2","2","6","28","16"
"480170060678","2","2","4","368","342"
"480170060681","2","2","5","4","4"
"480170060682","29","38","108","1653","1015"
"480170060683","17","23","67","527","765"
"480170060684","2","4","8","126","114"
"480170060685","15","19","55","3000","2655"
"480170060686","4","5","11","4","0"
"480170060687","6","7","18","2004","1974"
"480170060689","3","7","17","0","0"
"480170060690","2","2","8","0","0"
"480170060691","3","4","10","0","0"
"480170060692","4","8","15","196","112"
"480170060693","16","28","72","544","464"
"480170060694","13","20","49","1352","1833"
"480170060695","2","2","6","4","6"
"480170060699","3","1","10","207","147"
"480170060700","18","32","81","234","144"
"480170060701","11","25","59","187","110"
"480170060702","8","13","36","248","208"
"480170060703","6","11","25","84","78"
"480170060704","3","4","10","93","93"
"480170060705","8","10","25","0","0"
"480170060706","11","15","44","495","462"
"480170060707","11","16","47","330","231"
"480170060709","10","13","36","120","140"
"480170060710","8","8","22","1400","1352"
"480170060711","20","27","76","780","140"
"480170060712","1","0","2","8","8"
"480170060713","12","15","44","108","108"
"480170060714","3","5","9","48","48"
"480170060715","13","16","47","728","689"
"480170060717","6","5","16","534","684"
"480170060718","3","5","16","93","9"
"480170060719","2","2","4","472","522"
"480170060720","6","8","18","6","6"
"480170060721","9","14","35","0","0"
"480170060722","1","1","4","83","59"
"480170060724","6","14","24","0","0"
"480170060725","5","8","24","30","25"
"480170060726","1","2","4","73","72"
"480170060727","1","1","2","43","26"
"480170060728","1","0","2","0","0"
"480170060730","9","11","30","351","315"
