SEZ2011,AGG_COUNT,price
"480170060175","5",103.200000000000003
"480170060176","4",46.500000000000000
"480170060177","1",40.000000000000000
"480170060178","2",119.500000000000000
"480170060179","1",99.000000000000000
"480170060182","12",74.916666666666671
"480170060183","1",224.000000000000000
"480170060184","5",184.599999999999994
"480170060187","1",76.000000000000000
"480170060189","4",109.500000000000000
"480170060193","2",85.000000000000000
"480170060194","2",57.000000000000000
"480170060198","1",99.000000000000000
"480170060199","9",60.888888888888886
"480170060200","1",60.000000000000000
"480170060202","1",250.000000000000000
"480170060204","19",117.421052631578945
"480170060206","1",39.000000000000000
"480170060208","3",219.333333333333343
"480170060210","3",56.333333333333336
"480170060212","1",35.000000000000000
"480170060214","6",58.166666666666664
"480170060216","2",34.500000000000000
"480170060217","2",48.500000000000000
"480170060218","6",859.000000000000000
"480170060219","1",56.000000000000000
"480170060221","2",77.000000000000000
"480170060222","1",144.000000000000000
"480170060225","4",38.000000000000000
"480170060227","2",47.000000000000000
"480170060228","1",79.000000000000000
"480170060229","1",50.000000000000000
"480170060230","3",71.666666666666671
"480170060233","3",52.000000000000000
"480170060234","8",61.000000000000000
"480170060236","2",57.000000000000000
"480170060237","11",151.272727272727280
"480170060238","1",71.000000000000000
"480170060239","6",159.333333333333343
"480170060241","16",88.875000000000000
"480170060243","1",86.000000000000000
"480170060244","2",43.000000000000000
"480170060247","1",137.000000000000000
"480170060248","3",78.666666666666671
"480170060251","3",60.333333333333336
"480170060252","1",61.000000000000000
"480170060257","2",40.500000000000000
"480170060258","1",145.000000000000000
"480170060259","5",157.800000000000011
"480170060262","3",50.000000000000000
"480170060263","5",111.799999999999997
"480170060268","10",104.299999999999997
"480170060269","4",74.000000000000000
"480170060270","2",75.000000000000000
"480170060271","4",65.250000000000000
"480170060272","2",42.500000000000000
"480170060273","8",102.125000000000000
"480170060274","2",41.500000000000000
"480170060277","2",79.000000000000000
"480170060278","3",52.000000000000000
"480170060279","6",59.833333333333336
"480170060280","2",54.500000000000000
"480170060281","1",45.000000000000000
"480170060282","10",66.299999999999997
"480170060283","1",66.000000000000000
"480170060284","6",78.666666666666671
"480170060286","1",88.000000000000000
"480170060287","46",109.217391304347828
"480170060289","30",95.866666666666660
"480170060290","2",53.000000000000000
"480170060291","19",148.157894736842110
"480170060292","29",94.862068965517238
"480170060293","67",111.313432835820890
"480170060294","10",58.600000000000001
"480170060296","5",51.000000000000000
"480170060299","2",61.500000000000000
"480170060300","2",47.500000000000000
"480170060301","11",88.454545454545453
"480170060302","2",64.000000000000000
"480170060306","1",50.000000000000000
"480170060307","4",74.500000000000000
"480170060308","17",75.470588235294116
"480170060309","8",52.125000000000000
"480170060310","6",70.333333333333329
"480170060313","5",56.399999999999999
"480170060314","3",55.000000000000000
"480170060315","2",210.000000000000000
"480170060316","1",75.000000000000000
"480170060317","9",111.555555555555557
"480170060318","1",40.000000000000000
"480170060320","1",120.000000000000000
"480170060323","2",2012.000000000000000
"480170060324","2",1479.500000000000000
"480170060328","2",44.000000000000000
"480170060329","3",103.666666666666671
"480170060332","1",70.000000000000000
"480170060333","1",49.000000000000000
"480170060335","2",81.500000000000000
"480170060336","2",90.500000000000000
"480170060337","6",265.000000000000000
"480170060339","12",113.166666666666671
"480170060340","7",122.571428571428569
"480170060341","4",109.750000000000000
"480170060342","2",70.000000000000000
"480170060343","9",47.333333333333336
"480170060348","1",40.000000000000000
"480170060349","2",31.500000000000000
"480170060350","1",57.000000000000000
"480170060353","4",256.250000000000000
"480170060357","9",62.777777777777779
"480170060358","2",66.000000000000000
"480170060360","12",65.166666666666671
"480170060361","17",107.352941176470594
"480170060362","36",121.000000000000000
"480170060364","2",44.000000000000000
"480170060366","7",127.142857142857139
"480170060367","13",87.769230769230774
"480170060368","8",88.500000000000000
"480170060369","13",83.846153846153840
"480170060370","2",57.000000000000000
"480170060371","11",79.000000000000000
"480170060372","2",88.000000000000000
"480170060374","15",79.866666666666660
"480170060376","1",70.000000000000000
"480170060379","2",94.000000000000000
"480170060381","52",103.750000000000000
"480170060382","12",89.583333333333329
"480170060383","9",92.333333333333329
"480170060384","17",89.294117647058826
"480170060385","1",130.000000000000000
"480170060388","1",35.000000000000000
"480170060389","1",57.000000000000000
"480170060390","6",119.666666666666671
"480170060391","2",49.000000000000000
"480170060392","2",40.000000000000000
"480170060393","24",85.083333333333329
"480170060394","7",81.571428571428569
"480170060395","1",50.000000000000000
"480170060397","2",50.000000000000000
"480170060402","7",75.714285714285708
