CODREG,REGIONE,CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,NSEZ,ACE,CODLOC,CODASC,P1,A46,A47,PF1,E3,E27
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060029","60029","32","10002","3","123","1","49","53","26","50"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060030","60030","32","10002","3","137","18","43","68","15","65"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060031","60031","32","10002","3","145","10","49","67","24","97"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060032","60032","32","10002","3","117","6","42","54","16","53"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060033","60033","32","10002","3","273","9","79","104","61","118"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060034","60034","32","10002","3","75","1","28","34","13","30"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060035","60035","32","10002","3","38","0","17","17","9","18"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060036","60036","32","10002","3","78","18","19","41","7","44"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060037","60037","32","10002","3","194","9","69","89","17","92"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060038","60038","32","10002","3","58","1","25","27","3","32"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060039","60039","32","10002","3","438","85","103","202","56","204"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060040","60040","32","10002","3","325","3","135","147","54","146"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060041","60041","32","10002","3","33","4","7","14","4","16"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060042","60042","0","26612","3","35","7","4","13","11","16"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060043","60043","32","10002","3","47","9","17","27","11","36"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060044","60044","32","10002","3","0","0","0","0","3","9"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060045","60045","0","10001","3","237","10","76","93","11","105"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060046","60046","0","40002","3","21","1","8","9","4","15"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060047","60047","32","10002","3","22","1","5","10","5","12"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060048","60048","0","40004","3","13","2","3","5","4","10"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060049","60049","32","10002","3","67","1","21","25","7","23"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060050","60050","0","26705","3","10","5","0","5","3","20"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060051","60051","32","10002","3","76","6","26","35","10","39"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060052","60052","32","10002","3","0","0","0","0","1","2"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060053","60053","44","10002","4","99","14","35","54","16","53"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060054","60054","44","10002","4","10","0","7","7","1","7"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060055","60055","32","10002","3","44","12","1","17","7","32"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060056","60056","32","10002","3","223","0","69","74","6","72"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060057","60057","0","26704","3","24","12","0","13","4","28"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060058","60058","0","40015","3","189","5","41","66","53","124"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060059","60059","0","40002","3","58","3","9","20","22","64"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060060","60060","0","40002","3","27","1","11","15","8","16"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060061","60061","32","10002","3","130","9","39","61","23","83"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060062","60062","32","10002","3","1","0","1","1","2","2"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060063","60063","32","10002","3","29","3","6","12","11","14"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060064","60064","32","10002","3","223","7","84","95","5","110"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060065","60065","32","10002","3","30","0","9","10","7","20"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060066","60066","32","10002","3","23","1","7","8","7","8"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060067","60067","0","40002","3","20","0","7","8","2","10"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060068","60068","32","10002","3","218","27","53","98","58","124"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060069","60069","32","10002","3","57","3","11","26","21","42"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060070","60070","0","40002","3","19","2","5","8","4","8"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060071","60071","32","10002","3","238","9","92","114","40","130"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060072","60072","0","26601","3","16","3","4","8","5","13"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060073","60073","32","10002","3","79","1","30","35","18","38"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060074","60074","0","40002","3","53","8","14","24","4","24"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060075","60075","32","10002","3","17","0","6","8","8","9"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060076","60076","32","10002","3","4","0","1","2","2","2"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060077","60077","0","40004","3","31","1","10","13","6","25"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060078","60078","0","20008","3","50","3","13","20","23","48"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060079","60079","32","10002","3","354","35","96","144","27","140"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060080","60080","0","40006","3","45","6","12","19","12","31"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060081","60081","0","40004","3","9","1","3","4","5","12"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060082","60082","32","10002","3","153","8","62","82","18","91"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060083","60083","32","10002","3","33","5","4","12","7","18"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060084","60084","0","40002","3","14","1","1","4","3","4"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060085","60085","32","10002","3","492","68","121","239","39","245"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060086","60086","32","10002","3","219","7","81","101","33","96"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060087","60087","0","40004","3","22","1","7","9","11","20"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060088","60088","31","10002","3","13","7","0","7","1","8"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060089","60089","32","10002","3","0","0","0","0","2","15"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060090","60090","13","10002","1","230","33","2","54","2","54"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060091","60091","32","10002","3","37","9","8","19","7","22"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060093","60093","32","10002","3","273","37","80","127","41","144"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060094","60094","32","10002","3","111","6","24","43","22","64"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060095","60095","0","40004","3","65","0","8","13","12","23"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060096","60096","32","10002","3","313","4","105","141","60","144"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060097","60097","32","10002","3","62","5","22","29","11","32"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060098","60098","32","10002","3","13","2","3","9","5","13"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060099","60099","32","10002","3","436","28","144","201","66","181"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060100","60100","32","10002","3","150","11","52","69","23","65"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060101","60101","32","10002","3","18","3","5","8","3","8"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060102","60102","32","10002","3","78","5","24","36","21","42"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060103","60103","32","10002","3","8","3","1","4","3","7"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060104","60104","32","10002","3","36","0","20","20","7","30"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060105","60105","31","10002","3","277","56","66","126","2","121"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060106","60106","32","10002","3","407","36","137","188","63","198"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060107","60107","31","10002","3","63","0","21","21","1","20"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060108","60108","32","10002","3","10","0","3","4","3","4"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060109","60109","32","10002","3","63","1","20","25","16","28"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060110","60110","32","10002","3","147","7","56","71","40","102"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060111","60111","32","10002","3","145","3","47","57","18","54"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060112","60112","32","10002","3","24","0","6","7","6","7"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060113","60113","32","10002","3","108","4","40","47","11","86"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060114","60114","32","10002","3","41","5","17","23","7","23"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060115","60115","13","10002","1","150","10","45","67","32","69"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060116","60116","31","10002","3","109","4","34","43","1","45"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060117","60117","0","40004","3","57","5","23","28","15","38"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060118","60118","31","10002","3","251","18","85","119","41","121"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060119","60119","32","10002","3","111","5","48","58","10","61"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060121","60121","32","10002","3","45","10","7","21","3","34"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060122","60122","0","40004","3","13","0","3","4","2","3"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060123","60123","0","40002","3","56","7","7","24","27","58"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060124","60124","32","10002","3","654","45","221","291","80","324"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060125","60125","13","10002","1","17","2","7","9","6","15"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060126","60126","32","10002","3","130","5","53","64","15","80"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060127","60127","32","10002","3","1113","41","416","494","83","485"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060128","60128","32","10002","3","33","8","6","16","7","16"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060129","60129","31","10002","3","42","1","14","20","2","18"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060130","60130","13","10002","1","4","3","0","3","2","3"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060131","60131","32","10002","3","92","2","28","37","23","37"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060132","60132","32","10002","3","41","2","9","16","23","31"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060133","60133","32","10002","3","91","3","39","43","7","48"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060134","60134","13","10002","1","77","1","14","18","18","31"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060135","60135","31","10002","3","118","6","49","58","4","46"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060136","60136","31","10002","3","127","3","51","59","5","69"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060137","60137","13","10002","1","14","0","4","7","4","5"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060138","60138","31","10002","3","11","0","4","4","1","4"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060139","60139","13","10002","1","286","26","100","140","16","132"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060140","60140","32","10002","3","389","31","121","178","80","163"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060141","60141","32","10002","3","164","8","68","79","12","86"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060142","60142","32","10002","3","115","7","37","56","36","75"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060143","60143","31","10002","3","231","24","82","114","15","141"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060144","60144","31","10002","3","67","6","27","38","5","46"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060145","60145","31","10002","3","25","4","5","11","5","11"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060146","60146","13","10002","1","0","0","0","0","1","6"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060147","60147","13","10002","1","11","0","2","4","2","3"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060148","60148","0","40006","3","112","44","6","52","5","79"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060149","60149","31","10002","3","31","4","10","14","9","32"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060150","60150","31","10002","3","202","9","75","89","3","93"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060151","60151","31","10002","3","126","2","55","61","1","59"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060152","60152","13","10002","1","382","24","146","193","49","188"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060153","60153","32","10002","3","63","11","19","33","7","40"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060154","60154","13","10002","1","117","12","31","52","24","52"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060155","60155","31","10002","3","61","2","28","34","2","39"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060156","60156","13","10002","1","29","5","5","13","9","17"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060157","60157","32","10002","3","151","9","44","61","21","69"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060158","60158","31","10002","3","143","15","50","73","23","98"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060159","60159","31","10002","3","216","25","62","101","10","102"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060160","60160","13","10002","1","32","4","6","13","10","17"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060161","60161","32","10002","3","216","18","60","94","68","98"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060162","60162","32","10002","3","976","89","311","433","92","445"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060163","60163","13","10002","1","59","0","18","25","8","34"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060164","60164","31","10002","3","229","11","91","109","5","113"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060165","60165","0","40004","3","152","9","40","66","45","87"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060166","60166","31","10002","3","159","11","58","71","4","79"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060167","60167","13","10002","1","33","2","9","15","14","30"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060168","60168","31","10002","3","0","0","0","0","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060169","60169","31","10002","3","4","0","1","2","1","2"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060170","60170","31","10002","3","36","1","14","16","3","16"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060171","60171","13","10002","1","128","14","48","65","21","76"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060172","60172","31","10002","3","219","6","90","109","5","108"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060173","60173","31","10002","3","28","1","9","11","1","11"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060174","60174","31","10002","3","3","0","2","3","2","8"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060175","60175","31","10002","3","411","25","155","199","16","239"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060176","60176","31","10002","3","206","17","69","99","24","77"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060177","60177","31","10002","3","139","19","44","67","6","61"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060178","60178","13","10002","1","36","10","4","17","5","19"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060179","60179","31","10002","3","222","7","100","115","4","121"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060180","60180","13","10002","1","17","0","8","9","7","10"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060181","60181","31","10002","3","14","3","1","6","5","70"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060182","60182","13","10002","1","286","38","92","141","22","140"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060183","60183","0","40004","3","65","2","17","24","14","30"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060184","60184","13","10002","1","18","2","6","9","8","15"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060185","60185","31","10002","3","10","0","4","7","2","7"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060186","60186","31","10002","3","360","33","111","166","19","177"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060187","60187","31","10002","3","342","34","123","167","9","157"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060188","60188","31","10002","3","301","26","98","138","13","165"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060189","60189","13","10002","1","230","32","73","121","33","123"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060191","60191","31","10002","3","27","0","8","12","2","12"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060192","60192","31","10002","3","305","26","108","151","17","158"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060193","60193","13","10002","1","44","0","22","23","22","31"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060194","60194","31","10002","3","287","27","83","127","28","121"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060195","60195","31","10002","3","31","11","6","19","5","21"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060197","60197","31","10002","3","8","2","1","3","1","4"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060198","60198","31","10002","3","68","2","28","33","15","32"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060199","60199","31","10002","3","271","42","67","121","31","134"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060200","60200","31","10002","3","13","1","6","7","1","9"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060201","60201","31","10002","3","13","1","9","11","3","11"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060202","60202","13","10002","1","21","1","1","5","6","24"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060203","60203","31","10002","3","266","14","91","117","10","148"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060204","60204","13","10002","1","494","36","157","231","66","203"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060205","60205","31","10002","3","0","0","0","0","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060206","60206","31","10002","3","289","24","109","142","21","146"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060207","60207","31","10002","3","346","23","123","159","23","124"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060208","60208","13","10002","1","44","2","15","20","17","46"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060209","60209","31","10002","3","24","0","13","13","2","13"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060210","60210","31","10002","3","352","33","127","170","32","214"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060211","60211","31","10002","3","47","0","19","20","4","21"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060212","60212","31","10002","3","319","28","111","161","13","124"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060213","60213","31","10002","3","169","12","62","78","11","72"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060214","60214","13","10002","1","231","28","75","119","28","130"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060215","60215","44","10002","4","28","1","9","11","6","10"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060216","60216","31","10002","3","368","47","122","183","22","151"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060217","60217","31","10002","3","369","25","146","188","38","182"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060218","60218","32","10002","3","151","8","42","74","31","76"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060219","60219","31","10002","3","343","21","134","176","30","265"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060220","60220","31","10002","3","85","1","34","37","3","40"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060221","60221","0","40004","4","100","10","22","40","27","55"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060222","60222","13","10002","1","18","2","2","4","11","13"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060223","60223","31","10002","3","41","0","19","22","3","21"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060224","60224","31","10002","3","291","61","63","137","16","194"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060225","60225","31","10002","3","345","85","83","177","25","168"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060226","60226","31","10002","3","51","4","23","28","10","32"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060227","60227","32","10002","3","45","3","19","23","17","24"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060228","60228","31","10002","3","92","2","38","44","8","43"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060229","60229","13","10002","1","9","1","4","5","3","5"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060230","60230","32","10002","3","78","12","25","40","20","41"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060231","60231","44","10002","4","49","1","18","22","7","21"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060232","60232","31","10002","3","17","0","6","6","3","6"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060233","60233","31","10002","3","304","23","103","143","35","114"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060234","60234","31","10002","3","351","22","126","160","67","168"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060236","60236","32","10002","3","210","18","69","100","33","101"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060237","60237","32","10002","3","459","37","163","224","81","254"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060238","60238","13","10002","1","0","0","0","0","0","0"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060239","60239","32","10002","3","74","3","27","37","21","42"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060241","60241","13","10002","1","260","32","93","137","44","124"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060242","60242","13","10002","1","2","0","0","1","1","1"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060243","60243","31","10002","3","375","10","153","174","12","174"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060244","60244","31","10002","3","145","11","54","72","20","58"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060245","60245","31","10002","3","526","9","218","254","11","247"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060246","60246","31","10002","3","505","13","203","236","12","228"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060247","60247","31","10002","3","29","0","10","11","1","11"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060248","60248","13","10002","1","134","12","36","59","27","67"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060249","60249","31","10002","3","365","8","149","167","12","162"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060250","60250","31","10002","3","317","15","116","142","7","142"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060251","60251","31","10002","3","204","14","69","89","49","90"
"9",Toscana,"48",Firenze,"17",Firenze,"48017","480170060252","60252","31","10002","3","695","196","122","335","31","323"
