SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170060526,37.25581395348837,1.0,1.4,
480170060527,1.0,,0.0,
480170060528,7.0,,,
480170060529,31.176470588235293,,0.5,
480170060530,1.4,,2.0,
480170060531,1.4,,1.0,
480170060533,6.041666666666667,5.5,5.5,1.0
480170060534,1.0,,3.0,
480170060535,27.88888888888889,,,
480170060536,1.375,,1.0,
480170060538,13.25,,,
480170060539,75.5,,,
480170060540,1.0,,,
480170060541,1.0,,,
480170060542,8.526315789473685,,0.0,
480170060543,1.0,,,
480170060544,2.142857142857143,,,
480170060545,52.214285714285715,,,
480170060546,,,1.0,
480170060547,19.857142857142858,3.0,,
480170060548,3.5,,,
480170060551,19.7,,3.5,
480170060554,37.888888888888886,,,
480170060555,2.0,,0.6666666666666666,
480170060557,20.176470588235293,,4.5,
480170060558,16.0,,,
480170060559,23.671875,27.0,7.4,
480170060560,32.0,,0.6666666666666666,
480170060561,0.75,,0.0,
480170060563,1.7,,,
480170060564,,,2.5,
480170060565,121.30434782608695,,2.0,
480170060566,22.46153846153846,,3.0,
480170060568,243.0,,1.0,
480170060570,123.4,,2.0,
480170060571,31.894736842105264,,,
480170060573,23.166666666666668,,,
480170060574,47.16279069767442,3.0,7.555555555555555,
480170060576,1.0,,1.5,
480170060577,21.11904761904762,,1.0,
480170060578,0.5,,,
480170060580,1.0,,,
480170060581,24.208333333333332,,0.0,
480170060582,1.0,,,
480170060583,34.5,,0.0,
480170060584,61.94736842105263,,,
480170060585,5.666666666666667,,13.0,
480170060586,31.5,5.0,5.0,
480170060588,61.64705882352941,,2.0,
480170060589,75.09677419354838,,3.0,
480170060590,2.6666666666666665,,7.1,
480170060591,25.6,,1.75,
480170060592,38.833333333333336,,6.0,
480170060593,20.181818181818183,,5.0,
480170060594,3.5,,,
480170060595,3.0,,2.0,
480170060597,28.666666666666668,,1.0,
480170060598,1.0,,,
480170060599,24.5,,1.0,
480170060600,,,2.0,
480170060601,11.0,,5.0,
480170060602,1.5,,,
480170060603,9.4,,0.4,
480170060604,121.5,,,
480170060605,34.94444444444444,,7.0,
480170060606,33.06521739130435,27.0,12.88888888888889,
480170060607,27.5,,,
480170060608,6.285714285714286,,1.5,
480170060609,10.583333333333334,,,0.0
480170060612,1.4,,,
480170060613,8.75,,,
480170060614,6.714285714285714,,0.0,
480170060615,139.5,,,
480170060616,1.0,,3.3333333333333335,
480170060617,69.76923076923077,,13.0,
480170060619,8.2,,1.0,
480170060620,1.0,,5.0,
480170060621,54.666666666666664,,,
480170060622,7.761904761904762,,34.833333333333336,
480170060623,28.46153846153846,,24.0,
480170060624,1.0,,1.0,
480170060625,27.2,,2.0,
480170060626,9.181818181818182,,3.0,
480170060628,84.4375,,8.0,
480170060629,59.8125,,10.75,
480170060630,70.45454545454545,,1.0,
480170060631,63.77777777777778,,28.0,
480170060632,28.6,,3.5,
480170060633,1.0,,2.0,
480170060634,2.0,,,
480170060635,1.5,,,
480170060636,21.0,,4.0,
480170060639,5.0,,,
480170060640,4.2,,,
480170060641,21.333333333333332,,,
480170060642,7.444444444444445,,10.0,
480170060643,22.5,,7.0,
480170060644,16.083333333333332,,1.0,
480170060645,11.25,,,
480170060646,5.0,,5.0,
480170060647,5.25,,5.0,
480170060648,7.636363636363637,,40.0,
480170060649,1.5,,3.0,
480170060650,13.75,3.0,1.875,
480170060652,18.866666666666667,,1.5,
480170060653,32.0625,,27.0,
480170060654,17.833333333333332,,1.4,
480170060655,9.2,27.0,28.0,
480170060656,1.0,,,
480170060659,3.2,,1.1666666666666667,
480170060660,17.181818181818183,,2.0,
480170060661,1.0,,,
480170060662,35.55555555555556,,6.0,
480170060663,5.5,,7.0,
480170060664,7.8,,,
480170060665,43.833333333333336,,,
480170060666,12.6,,1.0,
480170060667,4.5,,1.0,
480170060668,16.75,,1.0,
480170060669,13.285714285714286,,9.5,
480170060671,32.68,,4.2,
480170060673,84.66666666666667,,14.166666666666666,
480170060674,31.846153846153847,,2.5,
480170060675,13.666666666666666,,1.0,
480170060676,3.0,,,
480170060677,28.5,,,
480170060678,4.0,,2.0,
480170060681,4.0,,3.0,
480170060682,76.57142857142857,6.0,4.571428571428571,
480170060683,29.933333333333334,,1.5,
480170060684,4.0,,1.0,
480170060685,1.1538461538461537,,32.5,
480170060686,1.0,,2.0,
480170060687,1.75,,1.0,
480170060689,5.333333333333333,,,
480170060690,5.0,,,
480170060691,10.666666666666666,,,
480170060692,9.5,,8.0,
480170060693,52.93333333333333,,3.0,
480170060694,30.1,,4.666666666666667,
480170060695,4.0,,,
480170060699,2.0,,4.0,
480170060700,34.0,,2.0,
480170060701,81.9,1.0,,
480170060702,4.333333333333333,,13.0,
480170060703,18.0,,,
