census_tract_id,AGG_COUNT,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,P1,A46,A47,PF1,E3,E27,calculated_host_listings_count,bedrooms,accommodates
"480170060310","6","6","5","3","1662","132","636","852","96","1224","19","10","21"
"480170060313","5","5","3","4","1860","515","330","930","145","910","37","7","16"
"480170060314","3","3","2","1","750","93","240","348","63","495","17","3","10"
"480170060315","2","2","1","0","564","120","142","302","46","250","4","2","7"
"480170060316","1","1","1","1","73","2","25","31","9","30","3","0","2"
"480170060317","9","9","6","2","2259","207","909","1215","108","1116","14","12","30"
"480170060318","1","1","0","0","87","33","9","44","9","46","1","1","2"
"480170060320","1","1","1","0","121","7","43","54","25","54","1","2","4"
"480170060323","2","2","1","1","76","8","22","42","22","50","4","9","21"
"480170060324","2","2","2","1","268","12","86","110","46","120","6","14","24"
"480170060328","2","2","0","1","1012","56","398","478","104","494","3","2","5"
"480170060329","3","3","1","0","843","66","303","438","183","453","3","3","8"
"480170060332","1","1","1","0","189","14","68","90","35","108","1","2","4"
"480170060333","1","1","1","0","10","0","4","5","6","59","1","1","2"
"480170060335","2","2","1","1","252","14","86","118","60","148","6","2","6"
"480170060336","2","2","2","1","920","46","322","408","96","350","3","3","7"
"480170060337","6","6","6","5","54","30","0","30","42","42","66","12","30"
"480170060339","12","12","9","8","1164","0","468","492","324","924","81","16","38"
"480170060340","7","7","2","6","483","35","161","238","168","378","23","8","22"
"480170060341","4","4","1","3","64","0","24","36","36","36","10","7","14"
"480170060342","2","2","2","1","544","24","126","170","64","186","5","3","9"
"480170060343","9","9","5","4","4419","297","1611","2025","774","2304","16","10","28"
"480170060348","1","1","0","0","1222","88","402","532","50","538","1","1","2"
"480170060349","2","2","1","0","1226","74","466","590","132","600","3","2","5"
"480170060350","1","1","1","0","34","0","16","18","7","19","1","1","4"
"480170060353","4","4","3","0","16","8","0","8","8","8","7","5","14"
"480170060357","9","9","8","2","1107","261","414","756","225","1071","27","9","21"
"480170060358","2","2","1","0","220","30","88","124","28","168","3","3","7"
"480170060360","12","12","11","5","912","228","324","624","84","612","28","17","37"
"480170060361","17","15","17","6","5117","850","1649","2618","714","2686","127","29","73"
"480170060362","36","34","29","10","7128","468","2016","2844","576","3564","394","49","122"
"480170060364","2","2","1","0","538","106","132","238","6","250","2","2","6"
"480170060366","7","7","7","5","658","119","182","315","91","364","193","11","31"
"480170060367","13","11","10","10","2158","208","728","1066","273","1144","106","18","46"
"480170060368","8","7","8","4","1208","232","384","712","248","624","76","12","28"
